location,avg_score,am_score,pm_score,night_score,all_scores
Suilven,24.3,40.6,15.4,16.8,"40.6,15.4,16.8"
Stac Pollaidh,26.4,44.1,17.5,17.5,"44.1,17.5,17.5"
Buachaille Etive Mor,8.2,2.8,10.3,11.4,"2.8,10.3,11.4"
Bidean nam Bian,9.7,2.8,13.9,12.3,"2.8,13.9,12.3"
Ben Starav,8.0,3.5,10.2,10.2,"3.5,10.2,10.2"
Bla Bheinn,5.1,2.8,4.2,8.4,"2.8,4.2,8.4"
An Ruadh Stac,13.8,24.5,9.1,7.7,"24.5,9.1,7.7"
Beinn Dearg Mor,25.9,38.5,23.1,16.1,"38.5,23.1,16.1"
Beinn Damh,13.8,25.2,7.7,8.4,"25.2,7.7,8.4"
Cul Beag,26.8,46.9,18.2,15.4,"46.9,18.2,15.4"
Baosbheinn,18.7,30.1,9.8,16.1,"30.1,9.8,16.1"
Slioch,22.7,33.6,18.9,15.6,"33.6,18.9,15.6"
Beinn Eighe,19.0,30.1,12.6,14.2,"30.1,12.6,14.2"
Liathach,17.6,28.7,10.5,13.5,"28.7,10.5,13.5"
Beinn Tarsuinn Corbett,15.6,12.6,17.8,16.4,"12.6,17.8,16.4"
Beinn Alligin - Sgurr Mor,19.3,28.0,9.1,20.7,"28.0,9.1,20.7"
Beinn na Caillich (Knoydart),6.8,3.5,5.6,11.2,"3.5,5.6,11.2"
