location,avg_score,am_score,pm_score,night_score,all_scores
Stac Pollaidh,4.7,10.5,0.7,2.8,"10.5,0.7,2.8"
Suilven,5.1,11.8,0.7,2.8,"11.8,0.7,2.8"
Buachaille Etive Mor,9.2,5.3,5.5,16.7,"5.3,5.5,16.7"
Ben Starav,14.1,8.6,8.1,25.6,"8.6,8.1,25.6"
Bidean nam Bian,11.8,7.2,6.7,21.4,"7.2,6.7,21.4"
Bla Bheinn,15.9,9.2,13.1,25.4,"9.2,13.1,25.4"
Beinn Tarsuinn Corbett,7.3,5.3,7.2,9.4,"5.3,7.2,9.4"
Beinn Alligin - Sgurr Mor,10.2,5.3,2.8,22.4,"5.3,2.8,22.4"
Beinn Eighe,6.7,5.3,1.4,13.3,"5.3,1.4,13.3"
Beinn Damh,8.6,4.1,2.8,18.9,"4.1,2.8,18.9"
Baosbheinn,9.1,4.1,2.1,21.0,"4.1,2.1,21.0"
Slioch,5.2,7.2,1.4,7.0,"7.2,1.4,7.0"
Liathach,7.6,6.0,1.4,15.4,"6.0,1.4,15.4"
Beinn Dearg Mor,4.5,8.0,0.7,4.9,"8.0,0.7,4.9"
Cul Beag,5.3,13.0,0.7,2.1,"13.0,0.7,2.1"
An Ruadh Stac,7.4,4.8,2.1,15.4,"4.8,2.1,15.4"
Beinn na Caillich (Knoydart),10.5,5.5,8.6,17.5,"5.5,8.6,17.5"
