location,avg_score,am_score,pm_score,night_score,all_scores
Suilven,4.0,6.3,1.4,4.4,"1.4,4.4,6.3"
Stac Pollaidh,4.2,2.1,0.7,9.8,"2.1,0.7,9.8"
Bidean nam Bian,17.8,23.2,18.1,12.0,"18.1,12.0,23.2"
Buachaille Etive Mor,16.2,17.2,19.3,12.0,"19.3,12.0,17.2"
Ben Starav,19.3,20.0,26.0,12.0,"26.0,12.0,20.0"
Bla Bheinn,9.2,8.4,2.8,16.5,"8.4,2.8,16.5"
Beinn Tarsuinn Corbett,6.3,7.0,8.8,3.0,"8.8,3.0,7.0"
Beinn Eighe,15.3,16.7,19.4,9.7,"19.4,9.7,16.7"
Cul Beag,3.3,4.9,1.4,3.7,"1.4,3.7,4.9"
Beinn Alligin - Sgurr Mor,11.4,6.7,11.4,16.0,"6.7,11.4,16.0"
Baosbheinn,9.1,12.1,8.4,6.7,"8.4,6.7,12.1"
Beinn Damh,16.9,19.5,18.4,12.7,"18.4,12.7,19.5"
An Ruadh Stac,14.3,15.8,20.5,6.7,"20.5,6.7,15.8"
Beinn Dearg Mor,6.0,7.2,4.9,6.0,"4.9,6.0,7.2"
Slioch,15.6,15.3,19.4,12.0,"19.4,12.0,15.3"
Liathach,15.0,12.7,17.4,15.0,"12.7,17.4,15.0"
Beinn na Caillich (Knoydart),15.7,20.5,21.7,4.9,"21.7,4.9,20.5"
