location,avg_score,am_score,pm_score,night_score,all_scores
Suilven,1.4,2.1,0,2.1,"2.1,0,2.1"
Stac Pollaidh,1.6,2.1,0,2.8,"2.1,0,2.8"
Buachaille Etive Mor,23.9,4.9,2.1,64.8,"4.9,2.1,64.8"
Bidean nam Bian,21.9,4.2,1.4,60.1,"4.2,1.4,60.1"
Ben Starav,24.3,3.5,1.4,68.1,"3.5,1.4,68.1"
Bla Bheinn,8.9,0,0,26.6,"0,0,26.6"
An Ruadh Stac,7.5,2.8,0,19.6,"2.8,0,19.6"
Beinn Dearg Mor,4.7,5.1,0,9.1,"5.1,0,9.1"
Beinn Damh,6.8,2.1,0,18.2,"2.1,0,18.2"
Cul Beag,1.6,2.1,0,2.8,"2.1,0,2.8"
Baosbheinn,4.7,2.1,0,11.9,"2.1,0,11.9"
Slioch,7.1,8.8,0,12.6,"8.8,0,12.6"
Beinn Eighe,7.8,8.8,0,14.7,"8.8,0,14.7"
Liathach,7.6,6.7,0,16.1,"6.7,0,16.1"
Beinn Tarsuinn Corbett,35.7,0,0,107.1,"0,0,107.1"
Beinn Alligin - Sgurr Mor,7.1,8.1,0,13.3,"8.1,0,13.3"
Beinn na Caillich (Knoydart),10.5,0,0,31.5,"0,0,31.5"
