location,avg_score,am_score,pm_score,night_score,all_scores
Suilven,4.1,0,0,12.4,"0,0,12.4"
Stac Pollaidh,4.0,0,0,11.9,"0,0,11.9"
Buachaille Etive Mor,3.3,0,6.2,3.6,"0,6.2,3.6"
Bidean nam Bian,3.5,0,6.2,4.2,"0,6.2,4.2"
Ben Starav,4.0,1.6,7.9,2.5,"1.6,7.9,2.5"
Bla Bheinn,5.2,0,8.8,6.9,"0,8.8,6.9"
An Ruadh Stac,5.0,0,2.0,12.9,"0,2.0,12.9"
Beinn Dearg Mor,7.2,0,1.3,20.3,"0,1.3,20.3"
Beinn Damh,5.0,0,2.1,12.9,"0,2.1,12.9"
Cul Beag,4.2,0,0,12.6,"0,0,12.6"
Baosbheinn,5.4,0,1.2,14.9,"0,1.2,14.9"
Slioch,7.2,0,2.4,19.1,"0,2.4,19.1"
Beinn Eighe,5.9,0,1.2,16.4,"0,1.2,16.4"
Liathach,6.1,0,1.5,16.9,"0,1.5,16.9"
Beinn Tarsuinn Corbett,12.0,2.8,22.4,10.9,"2.8,22.4,10.9"
Beinn Alligin - Sgurr Mor,5.5,0,1.5,14.9,"0,1.5,14.9"
Beinn na Caillich (Knoydart),1.8,0,3.8,1.5,"0,3.8,1.5"
