location,avg_score,am_score,pm_score,night_score,all_scores
Suilven,11.7,16.5,6.4,12.3,"16.5,6.4,12.3"
Stac Pollaidh,11.9,15.4,6.6,13.6,"15.4,6.6,13.6"
Buachaille Etive Mor,12.3,12.6,13.6,10.6,"12.6,13.6,10.6"
Bidean nam Bian,15.0,15.4,15.7,13.8,"15.4,15.7,13.8"
Ben Starav,14.4,14.9,15.7,12.7,"14.9,15.7,12.7"
Bla Bheinn,21.4,15.3,17.4,31.6,"15.3,17.4,31.6"
An Ruadh Stac,31.4,21.6,18.1,54.4,"21.6,18.1,54.4"
Beinn Dearg Mor,25.3,19.4,12.5,44.1,"19.4,12.5,44.1"
Beinn Damh,30.8,21.8,16.1,54.6,"21.8,16.1,54.6"
Cul Beag,12.7,16.3,7.3,14.4,"16.3,7.3,14.4"
Baosbheinn,26.3,19.9,13.1,45.8,"19.9,13.1,45.8"
Slioch,28.7,21.0,14.4,50.7,"21.0,14.4,50.7"
Beinn Eighe,30.5,22.3,15.9,53.2,"22.3,15.9,53.2"
Liathach,31.0,22.4,16.6,54.1,"22.4,16.6,54.1"
Beinn Tarsuinn Corbett,6.8,8.9,6.6,4.9,"8.9,6.6,4.9"
Beinn Alligin - Sgurr Mor,28.1,21.1,13.8,49.4,"21.1,13.8,49.4"
Beinn na Caillich (Knoydart),20.2,15.2,18.5,26.8,"15.2,18.5,26.8"
