location,avg_score,am_score,pm_score,night_score,all_scores
Stac Pollaidh,16.7,10.2,17.8,22.0,"17.8,22.0,10.2"
Suilven,17.7,11.0,18.6,23.6,"18.6,23.6,11.0"
Buachaille Etive Mor,15.0,13.8,15.8,15.4,"15.8,15.4,13.8"
Ben Starav,14.4,14.8,12.0,16.4,"12.0,16.4,14.8"
Bidean nam Bian,16.7,16.4,17.4,16.4,"17.4,16.4,16.4"
Bla Bheinn,18.5,12.4,22.0,21.0,"22.0,21.0,12.4"
Baosbheinn,23.3,15.6,23.2,31.2,"23.2,31.2,15.6"
An Ruadh Stac,22.5,13.4,23.0,31.0,"23.0,31.0,13.4"
Beinn Damh,22.2,13.4,23.0,30.2,"23.0,30.2,13.4"
Beinn Eighe,24.9,14.2,27.8,32.8,"27.8,32.8,14.2"
Beinn Alligin - Sgurr Mor,25.0,17.4,24.8,32.8,"24.8,32.8,17.4"
Beinn Dearg Mor,23.6,13.4,23.2,34.2,"23.2,34.2,13.4"
Liathach,25.8,16.0,28.6,32.8,"28.6,32.8,16.0"
Beinn Tarsuinn Corbett,11.9,10.8,12.6,12.4,"12.6,12.4,10.8"
Slioch,25.7,13.4,30.8,32.8,"30.8,32.8,13.4"
Cul Beag,18.5,11.8,19.4,24.4,"19.4,24.4,11.8"
Beinn na Caillich (Knoydart),14.3,10.4,19.2,13.4,"19.2,13.4,10.4"
