location,avg_score,am_score,pm_score,night_score,all_scores
Suilven,11.1,15.0,11.1,7.2,"15.0,11.1,7.2"
Stac Pollaidh,9.4,13.4,9.1,5.6,"13.4,9.1,5.6"
Bidean nam Bian,15.7,23.0,13.2,10.9,"23.0,13.2,10.9"
Buachaille Etive Mor,13.3,21.2,10.6,8.2,"21.2,10.6,8.2"
Ben Starav,12.9,20.0,10.6,8.1,"20.0,10.6,8.1"
Bla Bheinn,11.9,16.9,9.8,9.1,"16.9,9.8,9.1"
Cul Beag,12.1,17.2,11.1,7.9,"17.2,11.1,7.9"
Beinn Tarsuinn Corbett,6.3,9.8,6.4,2.8,"9.8,6.4,2.8"
Beinn Damh,14.4,21.1,14.4,7.8,"21.1,14.4,7.8"
An Ruadh Stac,14.5,22.0,13.6,7.8,"22.0,13.6,7.8"
Slioch,16.0,23.6,14.8,9.5,"23.6,14.8,9.5"
Baosbheinn,13.1,19.2,12.0,8.0,"19.2,12.0,8.0"
Beinn Dearg Mor,15.0,23.0,14.4,7.5,"23.0,14.4,7.5"
Beinn Eighe,16.1,24.4,14.8,9.0,"24.4,14.8,9.0"
Beinn Alligin - Sgurr Mor,15.2,23.6,13.8,8.2,"23.6,13.8,8.2"
Beinn na Caillich (Knoydart),10.9,15.8,10.1,6.8,"15.8,10.1,6.8"
