location,avg_score,am_score,pm_score,night_score,all_scores
Ben Avon,15.5,17.0,12.4,17.2,"17.0,12.4,17.2"
Braeriach,17.2,19.6,16.2,15.8,"19.6,16.2,15.8"
Cairn Toul,17.2,19.6,16.2,15.8,"19.6,16.2,15.8"
Ben Macdui,18.2,19.6,16.2,18.8,"19.6,16.2,18.8"
Stac Pollaidh,3.7,4.0,4.0,3.2,"4.0,4.0,3.2"
Suilven,4.8,4.8,4.8,4.8,"4.8,4.8,4.8"
Buachaille Etive Mor,9.3,9.4,8.8,9.6,"9.4,8.8,9.6"
Ben Starav,8.0,5.6,8.8,9.6,"5.6,8.8,9.6"
Bidean nam Bian,10.9,12.0,9.6,11.2,"12.0,9.6,11.2"
Bla Bheinn,7.5,6.8,9.2,6.4,"6.8,9.2,6.4"
Beinn Eighe,9.3,8.2,8.0,11.8,"8.2,8.0,11.8"
Beinn Alligin - Sgurr Mor,10.7,8.2,9.8,14.0,"8.2,9.8,14.0"
Cul Beag,5.6,4.8,5.6,6.4,"4.8,5.6,6.4"
Beinn Damh,8.5,6.4,8.8,10.2,"6.4,8.8,10.2"
An Ruadh Stac,8.2,5.6,8.8,10.2,"5.6,8.8,10.2"
Slioch,9.0,7.2,8.0,11.8,"7.2,8.0,11.8"
Beinn Dearg Mor,6.9,6.4,7.2,7.2,"6.4,7.2,7.2"
Liathach,10.9,8.2,9.6,14.8,"8.2,9.6,14.8"
Baosbheinn,8.7,6.4,7.2,12.4,"6.4,7.2,12.4"
Beinn Tarsuinn Corbett,4.1,5.8,1.6,4.8,"5.8,1.6,4.8"
Beinn na Caillich (Knoydart),5.6,4.0,6.4,6.4,"4.0,6.4,6.4"
Ben Nevis,13.9,16.4,12.2,13.0,"16.4,12.2,13.0"
Aonach Mor,12.1,13.8,11.4,11.2,"13.8,11.4,11.2"
