location,avg_score,am_score,pm_score,night_score,all_scores
Stac Pollaidh,5.6,6.4,5.6,4.8,"5.6,4.8,6.4"
Suilven,6.7,8.0,6.4,5.6,"6.4,5.6,8.0"
Buachaille Etive Mor,11.2,10.4,12.0,11.2,"12.0,11.2,10.4"
Ben Starav,10.7,10.4,11.2,10.4,"11.2,10.4,10.4"
Bidean nam Bian,11.8,11.2,13.0,11.2,"13.0,11.2,11.2"
Bla Bheinn,7.0,8.2,8.0,4.8,"8.0,4.8,8.2"
Baosbheinn,7.7,8.8,8.0,6.4,"8.0,6.4,8.8"
An Ruadh Stac,9.6,8.8,9.6,10.4,"9.6,10.4,8.8"
Beinn Damh,9.3,8.8,8.8,10.4,"8.8,10.4,8.8"
Beinn Eighe,10.4,10.4,10.4,10.4,"10.4,10.4,10.4"
Beinn Alligin - Sgurr Mor,9.1,9.6,9.6,8.0,"9.6,8.0,9.6"
Beinn Dearg Mor,8.5,8.8,8.8,8.0,"8.8,8.0,8.8"
Liathach,10.4,10.4,10.4,10.4,"10.4,10.4,10.4"
Beinn Tarsuinn Corbett,6.4,5.6,7.2,6.4,"7.2,6.4,5.6"
Slioch,9.1,9.6,9.6,8.0,"9.6,8.0,9.6"
Cul Beag,6.9,8.0,7.2,5.6,"7.2,5.6,8.0"
Beinn na Caillich (Knoydart),7.7,7.2,8.0,8.0,"8.0,8.0,7.2"
