location,avg_score,am_score,pm_score,night_score,all_scores
Suilven,3.9,0.3,2.0,9.4,"0.3,2.0,9.4"
Stac Pollaidh,3.2,0.3,0.9,8.3,"0.3,0.9,8.3"
Buachaille Etive Mor,6.2,1.6,1.9,15.2,"1.6,1.9,15.2"
Bidean nam Bian,8.5,3.4,2.9,19.2,"3.4,2.9,19.2"
Ben Starav,7.8,2.6,3.0,17.9,"2.6,3.0,17.9"
Bla Bheinn,10.9,2.2,10.8,19.8,"2.2,10.8,19.8"
An Ruadh Stac,5.4,0.6,1.6,14.1,"0.6,1.6,14.1"
Beinn Dearg Mor,4.3,0.6,1.4,10.9,"0.6,1.4,10.9"
Beinn Damh,6.2,0.4,2.6,15.7,"0.4,2.6,15.7"
Cul Beag,3.3,0.3,1.9,7.7,"0.3,1.9,7.7"
Baosbheinn,6.7,0.3,2.8,16.9,"0.3,2.8,16.9"
Slioch,5.3,1.8,1.4,12.8,"1.8,1.4,12.8"
Beinn Eighe,6.3,1.6,2.5,14.9,"1.6,2.5,14.9"
Liathach,7.4,1.4,3.5,17.2,"1.4,3.5,17.2"
Beinn Tarsuinn Corbett,8.1,9.9,5.7,8.7,"9.9,5.7,8.7"
Beinn Alligin - Sgurr Mor,7.8,0.3,3.8,19.2,"0.3,3.8,19.2"
Beinn na Caillich (Knoydart),6.6,0.9,4.3,14.6,"0.9,4.3,14.6"
