location,avg_score,am_score,pm_score,night_score,all_scores
Suilven,9.8,8.1,2.1,19.3,"2.1,19.3,8.1"
Stac Pollaidh,8.5,3.5,4.2,17.9,"3.5,4.2,17.9"
Bidean nam Bian,23.3,24.0,24.8,21.0,"24.8,21.0,24.0"
Buachaille Etive Mor,17.7,15.1,20.0,18.0,"20.0,18.0,15.1"
Ben Starav,18.5,17.2,20.4,18.0,"20.4,18.0,17.2"
Bla Bheinn,6.4,3.5,6.7,9.0,"3.5,6.7,9.0"
Beinn Tarsuinn Corbett,8.9,14.2,3.5,9.0,"3.5,9.0,14.2"
Beinn Eighe,17.2,24.0,9.7,18.0,"9.7,18.0,24.0"
Cul Beag,11.4,8.8,2.1,23.2,"2.1,23.2,8.8"
Beinn Alligin - Sgurr Mor,11.9,7.4,10.4,18.0,"7.4,10.4,18.0"
Baosbheinn,16.1,31.9,4.4,12.0,"4.4,12.0,31.9"
Beinn Damh,19.1,31.9,10.4,15.0,"10.4,15.0,31.9"
An Ruadh Stac,15.2,29.1,4.4,12.0,"4.4,12.0,29.1"
Beinn Dearg Mor,13.7,18.0,11.1,12.0,"11.1,12.0,18.0"
Slioch,17.2,24.0,9.7,18.0,"9.7,18.0,24.0"
Liathach,12.9,10.4,13.4,15.0,"10.4,13.4,15.0"
Beinn na Caillich (Knoydart),6.7,9.8,1.4,8.8,"1.4,8.8,9.8"
