location,avg_score,am_score,pm_score,night_score,all_scores
Suilven,4.5,0,8.0,5.6,"8.0,5.6,0"
Stac Pollaidh,2.1,1.5,0.9,3.9,"1.5,0.9,3.9"
Bidean nam Bian,12.8,1.0,26.8,10.7,"26.8,10.7,1.0"
Buachaille Etive Mor,10.5,0.2,22.7,8.6,"22.7,8.6,0.2"
Ben Starav,12.5,1.0,25.4,11.2,"25.4,11.2,1.0"
Bla Bheinn,3.0,1.2,4.4,3.3,"1.2,4.4,3.3"
Beinn Tarsuinn Corbett,10.3,0,17.1,13.8,"17.1,13.8,0"
Beinn Eighe,7.8,1.4,16.2,5.9,"16.2,5.9,1.4"
Cul Beag,4.4,0,7.7,5.6,"7.7,5.6,0"
Beinn Alligin - Sgurr Mor,3.1,3.2,3.0,3.2,"3.2,3.0,3.2"
Baosbheinn,6.9,0.6,14.6,5.5,"14.6,5.5,0.6"
Beinn Damh,7.9,0.6,17.7,5.5,"17.7,5.5,0.6"
An Ruadh Stac,7.6,0.6,16.7,5.5,"16.7,5.5,0.6"
Beinn Dearg Mor,6.9,1.4,12.7,6.5,"12.7,6.5,1.4"
Slioch,7.4,1.2,14.9,6.1,"14.9,6.1,1.2"
Liathach,3.2,3.2,2.6,3.7,"3.2,2.6,3.7"
Beinn na Caillich (Knoydart),11.4,0.3,24.9,9.1,"24.9,9.1,0.3"
