location,avg_score,am_score,pm_score,night_score,all_scores
Suilven,5.2,8.7,3.3,3.6,"8.7,3.3,3.6"
Stac Pollaidh,5.7,9.4,3.8,3.8,"9.4,3.8,3.8"
Buachaille Etive Mor,2.1,0.6,3.0,2.6,"0.6,3.0,2.6"
Bidean nam Bian,2.7,0.6,4.6,3.0,"0.6,4.6,3.0"
Ben Starav,2.3,0.8,3.7,2.5,"0.8,3.7,2.5"
Bla Bheinn,1.1,0.6,0.9,1.8,"0.6,0.9,1.8"
An Ruadh Stac,3.0,5.2,2.0,1.7,"5.2,2.0,1.7"
Beinn Dearg Mor,5.5,8.2,4.9,3.4,"8.2,4.9,3.4"
Beinn Damh,3.0,5.4,1.7,1.8,"5.4,1.7,1.8"
Cul Beag,5.8,10.1,3.9,3.3,"10.1,3.9,3.3"
Baosbheinn,4.0,6.4,2.1,3.4,"6.4,2.1,3.4"
Slioch,4.9,7.2,4.1,3.5,"7.2,4.1,3.5"
Beinn Eighe,4.1,6.4,2.7,3.2,"6.4,2.7,3.2"
Liathach,3.8,6.1,2.2,3.0,"6.1,2.2,3.0"
Beinn Tarsuinn Corbett,4.8,2.7,6.0,5.7,"2.7,6.0,5.7"
Beinn Alligin - Sgurr Mor,4.3,6.0,2.0,4.8,"6.0,2.0,4.8"
Beinn na Caillich (Knoydart),1.5,0.8,1.2,2.4,"0.8,1.2,2.4"
