location,avg_score,am_score,pm_score,night_score,all_scores
Suilven,6.4,4.6,7.0,7.5,"4.6,7.0,7.5"
Stac Pollaidh,4.6,2.1,6.6,5.2,"2.1,6.6,5.2"
Bidean nam Bian,5.7,3.5,6.0,7.6,"3.5,6.0,7.6"
Buachaille Etive Mor,3.7,2.2,4.0,5.0,"2.2,4.0,5.0"
Ben Starav,5.0,2.7,6.0,6.4,"2.7,6.0,6.4"
Bla Bheinn,4.1,2.2,6.4,3.8,"2.2,6.4,3.8"
Cul Beag,6.3,4.6,7.1,7.1,"4.6,7.1,7.1"
Beinn Tarsuinn Corbett,1.7,1.4,0,3.8,"1.4,0,3.8"
Beinn Damh,5.5,3.0,7.7,5.9,"3.0,7.7,5.9"
An Ruadh Stac,5.7,2.8,8.5,5.9,"2.8,8.5,5.9"
Slioch,7.7,4.5,11.2,7.5,"4.5,11.2,7.5"
Baosbheinn,5.8,2.3,8.4,6.8,"2.3,8.4,6.8"
Beinn Dearg Mor,8.2,4.5,11.3,8.9,"4.5,11.3,8.9"
Beinn Eighe,8.3,4.4,11.7,8.8,"4.4,11.7,8.8"
Beinn Alligin - Sgurr Mor,6.7,3.9,10.1,6.2,"3.9,10.1,6.2"
Beinn na Caillich (Knoydart),3.8,1.5,5.0,5.0,"1.5,5.0,5.0"
