location,avg_score,am_score,pm_score,night_score,all_scores
Ben Macdui,9.3,,6.4,12.2,"6.4,12.2"
Braeriach,8.9,,5.6,12.2,"5.6,12.2"
Cairn Toul,8.4,,5.6,11.2,"5.6,11.2"
Cairngorm,8.8,,5.6,12.0,"5.6,12.0"
Ben Avon,10.6,,5.6,15.6,"5.6,15.6"
Stac Pollaidh,2.4,,2.4,2.4,"2.4,2.4"
Ben More Coigach,2.4,,2.4,2.4,"2.4,2.4"
Suilven,2.4,,2.4,2.4,"2.4,2.4"
Buachaille Etive Mor,5.6,,5.6,5.6,"5.6,5.6"
Ben Starav,6.0,,5.6,6.4,"5.6,6.4"
Bidean nam Bian,6.4,,5.6,7.2,"5.6,7.2"
Bla Bheinn,3.2,,1.6,4.8,"1.6,4.8"
Beinn Tarsuinn Corbett,9.0,,3.2,14.8,"3.2,14.8"
Cul Beag,3.2,,2.4,4.0,"2.4,4.0"
Slioch,4.4,,3.2,5.6,"3.2,5.6"
Beinn Dearg Mor,3.6,,3.2,4.0,"3.2,4.0"
An Ruadh Stac,3.6,,3.2,4.0,"3.2,4.0"
Baosbheinn,2.8,,2.4,3.2,"2.4,3.2"
Beinn Alligin - Sgurr Mor,3.2,,3.2,3.2,"3.2,3.2"
A'Mhaighdean,4.4,,3.2,5.6,"3.2,5.6"
Beinn Eighe,4.0,,3.2,4.8,"3.2,4.8"
Beinn Damh,3.6,,3.2,4.0,"3.2,4.0"
Liathach,3.6,,3.2,4.0,"3.2,4.0"
Beinn na Caillich (Knoydart),3.2,,2.4,4.0,"2.4,4.0"
Aonach Mor,6.8,,6.4,7.2,"6.4,7.2"
Ben Nevis,8.0,,8.0,8.0,"8.0,8.0"
Aonach Beag,6.8,,6.4,7.2,"6.4,7.2"
Carn Mor Dearg,6.8,,6.4,7.2,"6.4,7.2"
Stob Ban (Grey Corries),5.2,,4.8,5.6,"4.8,5.6"
