location,avg_score,am_score,pm_score,night_score,all_scores
Suilven,14.8,1.4,6.1,36.8,"1.4,6.1,36.8"
Stac Pollaidh,12.5,1.4,4.2,31.9,"1.4,4.2,31.9"
Buachaille Etive Mor,18.9,4.1,5.5,47.2,"4.1,5.5,47.2"
Bidean nam Bian,25.3,8.3,6.7,60.8,"8.3,6.7,60.8"
Ben Starav,22.4,5.3,7.4,54.5,"5.3,7.4,54.5"
Bla Bheinn,29.4,6.9,29.9,51.4,"6.9,29.9,51.4"
An Ruadh Stac,17.4,2.8,4.1,45.3,"2.8,4.1,45.3"
Beinn Dearg Mor,12.3,2.8,3.4,30.6,"2.8,3.4,30.6"
Beinn Damh,18.9,2.1,5.3,49.4,"2.1,5.3,49.4"
Cul Beag,12.0,1.4,5.5,29.1,"1.4,5.5,29.1"
Baosbheinn,18.6,1.4,6.0,48.4,"1.4,6.0,48.4"
Slioch,14.7,4.8,3.4,36.0,"4.8,3.4,36.0"
Beinn Eighe,17.0,4.1,4.6,42.2,"4.1,4.6,42.2"
Liathach,19.3,3.4,5.8,48.6,"3.4,5.8,48.6"
Beinn Tarsuinn Corbett,19.5,29.3,12.7,16.5,"29.3,12.7,16.5"
Beinn Alligin - Sgurr Mor,21.1,1.4,7.2,54.7,"1.4,7.2,54.7"
Beinn na Caillich (Knoydart),19.6,4.2,10.1,44.4,"4.2,10.1,44.4"
