location,avg_score,am_score,pm_score,night_score,all_scores
Suilven,0.1,0.3,0,0,"0,0,0.3"
Stac Pollaidh,0.3,0.3,0.2,0.3,"0.3,0.2,0.3"
Bidean nam Bian,0.3,0.4,0.2,0.2,"0.2,0.2,0.4"
Buachaille Etive Mor,0.3,0.4,0.2,0.2,"0.2,0.2,0.4"
Ben Starav,0.3,0.6,0.2,0.2,"0.2,0.2,0.6"
Bla Bheinn,0.5,0.6,0.2,0.6,"0.6,0.2,0.6"
Beinn Tarsuinn Corbett,0.1,0,0,0.3,"0,0.3,0"
Beinn Eighe,0.4,1.3,0,0,"0,0,1.3"
Cul Beag,0.1,0.3,0,0,"0,0,0.3"
Beinn Alligin - Sgurr Mor,0.9,1.3,0.3,1.0,"1.3,0.3,1.0"
Baosbheinn,0.1,0.3,0,0,"0,0,0.3"
Beinn Damh,0.1,0.4,0,0,"0,0,0.4"
An Ruadh Stac,0.1,0.4,0,0,"0,0,0.4"
Beinn Dearg Mor,0.1,0.3,0,0,"0,0,0.3"
Slioch,0.4,1.3,0,0,"0,0,1.3"
Liathach,0.9,1.3,0.3,1.2,"1.3,0.3,1.2"
Beinn na Caillich (Knoydart),0.1,0.2,0,0,"0,0,0.2"
