location,avg_score,am_score,pm_score,night_score,all_scores
Stac Pollaidh,2.1,1.6,2.4,2.4,"2.4,2.4,1.6"
Suilven,2.9,3.2,3.2,2.4,"3.2,2.4,3.2"
Buachaille Etive Mor,4.5,4.0,4.8,4.8,"4.8,4.8,4.0"
Ben Starav,4.8,4.8,4.8,4.8,"4.8,4.8,4.8"
Bidean nam Bian,5.1,4.8,4.8,5.6,"4.8,5.6,4.8"
Bla Bheinn,6.2,2.4,9.2,7.0,"9.2,7.0,2.4"
Baosbheinn,4.5,3.2,7.0,3.2,"7.0,3.2,3.2"
An Ruadh Stac,5.5,4.0,7.8,4.8,"7.8,4.8,4.0"
Beinn Damh,5.5,4.8,7.8,4.0,"7.8,4.0,4.8"
Beinn Eighe,6.1,4.8,8.6,4.8,"8.6,4.8,4.8"
Beinn Alligin - Sgurr Mor,5.5,4.0,7.8,4.8,"7.8,4.8,4.0"
Beinn Dearg Mor,4.8,4.0,5.6,4.8,"5.6,4.8,4.0"
Liathach,6.6,4.8,8.6,6.4,"8.6,6.4,4.8"
Beinn Tarsuinn Corbett,2.1,0.8,3.9,1.6,"3.9,1.6,0.8"
Slioch,5.1,4.8,5.6,4.8,"5.6,4.8,4.8"
Cul Beag,3.7,3.2,4.0,4.0,"4.0,4.0,3.2"
Beinn na Caillich (Knoydart),2.7,1.6,3.2,3.2,"3.2,3.2,1.6"
