location,avg_score,am_score,pm_score,night_score,all_scores
Suilven,5.9,1.4,3.5,12.8,"3.5,12.8,1.4"
Stac Pollaidh,4.9,1.4,3.5,9.8,"3.5,9.8,1.4"
Bidean nam Bian,8.4,7.7,14.4,3.0,"14.4,3.0,7.7"
Buachaille Etive Mor,6.6,9.1,7.0,3.7,"7.0,3.7,9.1"
Ben Starav,8.9,8.4,11.6,6.7,"11.6,6.7,8.4"
Bla Bheinn,8.4,2.8,10.2,12.1,"10.2,12.1,2.8"
Beinn Tarsuinn Corbett,4.9,11.9,0.7,2.1,"0.7,2.1,11.9"
Beinn Eighe,10.3,4.4,12.3,14.1,"12.3,14.1,4.4"
Cul Beag,7.9,4.4,3.5,15.8,"3.5,15.8,4.4"
Baosbheinn,10.5,3.5,9.3,18.6,"9.3,18.6,3.5"
Beinn Damh,9.5,4.2,9.3,15.1,"9.3,15.1,4.2"
An Ruadh Stac,9.3,4.9,8.6,14.4,"8.6,14.4,4.9"
Beinn Dearg Mor,13.9,6.5,14.4,20.7,"14.4,20.7,6.5"
Slioch,9.3,4.4,13.0,10.4,"13.0,10.4,4.4"
Beinn Alligin - Sgurr Mor,9.3,3.7,12.3,11.8,"12.3,11.8,3.7"
Beinn na Caillich (Knoydart),4.0,5.6,2.1,4.2,"2.1,4.2,5.6"
