location,avg_score,am_score,pm_score,night_score,all_scores
Ben Macdui,5.6,6.4,4.0,6.4,"4.0,6.4,6.4"
Braeriach,10.7,8.0,12.4,11.8,"8.0,12.4,11.8"
Cairn Toul,11.2,8.0,10.8,14.8,"8.0,10.8,14.8"
Ben Avon,10.9,8.0,10.0,14.8,"8.0,10.0,14.8"
Stac Pollaidh,2.4,2.4,1.6,3.2,"1.6,3.2,2.4"
Suilven,2.4,2.4,1.6,3.2,"1.6,3.2,2.4"
Ben More Coigach,2.1,3.2,0,3.2,"0,3.2,3.2"
Buachaille Etive Mor,5.9,7.2,4.0,6.4,"4.0,6.4,7.2"
Ben Starav,6.1,7.2,4.0,7.2,"4.0,7.2,7.2"
Bidean nam Bian,6.1,7.2,4.0,7.2,"4.0,7.2,7.2"
Bla Bheinn,3.2,3.2,2.4,4.0,"2.4,4.0,3.2"
Beinn Tarsuinn Corbett,6.0,3.2,4.0,10.8,"4.0,10.8,3.2"
Beinn Alligin - Sgurr Mor,5.6,4.8,5.6,6.4,"4.8,5.6,6.4"
Beinn Dearg Mor,2.9,3.2,0.8,4.8,"0.8,4.8,3.2"
An Ruadh Stac,3.2,4.8,0.8,4.0,"0.8,4.0,4.8"
Liathach,6.5,4.8,8.2,6.4,"4.8,8.2,6.4"
Baosbheinn,3.5,3.2,3.2,4.0,"3.2,4.0,3.2"
Beinn Eighe,5.9,4.8,6.4,6.4,"4.8,6.4,6.4"
Cul Beag,2.9,3.2,2.4,3.2,"2.4,3.2,3.2"
A'Mhaighdean,3.5,4.8,0.8,4.8,"0.8,4.8,4.8"
Beinn Damh,3.2,4.8,0.8,4.0,"0.8,4.0,4.8"
Slioch,3.5,4.8,0.8,4.8,"0.8,4.8,4.8"
Beinn na Caillich (Knoydart),4.0,5.6,3.2,3.2,"5.6,3.2,3.2"
Aonach Mor,5.6,7.2,3.2,6.4,"3.2,6.4,7.2"
Ben Nevis,9.9,12.4,8.0,9.4,"12.4,8.0,9.4"
