location,avg_score,am_score,pm_score,night_score,all_scores
Ben Avon,6.9,8.8,6.4,5.6,"8.8,6.4,5.6"
Braeriach,8.0,9.6,8.0,6.4,"9.6,8.0,6.4"
Cairn Toul,8.0,9.6,8.0,6.4,"9.6,8.0,6.4"
Ben Macdui,8.0,9.6,8.0,6.4,"9.6,8.0,6.4"
Stac Pollaidh,3.5,1.6,2.4,6.6,"1.6,2.4,6.6"
Suilven,4.3,1.6,3.2,8.0,"1.6,3.2,8.0"
Buachaille Etive Mor,6.1,6.4,6.4,5.6,"6.4,6.4,5.6"
Ben Starav,6.1,6.4,6.4,5.6,"6.4,6.4,5.6"
Bidean nam Bian,7.2,7.2,8.0,6.4,"7.2,8.0,6.4"
Bla Bheinn,5.9,4.0,3.2,10.5,"4.0,3.2,10.5"
Beinn Eighe,6.4,4.0,5.6,9.6,"4.0,5.6,9.6"
Beinn Alligin - Sgurr Mor,6.1,4.0,4.8,9.6,"4.0,4.8,9.6"
Cul Beag,4.0,3.2,3.2,5.5,"3.2,3.2,5.5"
Beinn Damh,5.3,4.0,4.0,7.8,"4.0,4.0,7.8"
An Ruadh Stac,5.3,4.0,4.0,7.8,"4.0,4.0,7.8"
Slioch,5.1,4.0,5.6,5.8,"4.0,5.6,5.8"
Beinn Dearg Mor,4.6,4.0,4.0,5.9,"4.0,4.0,5.9"
Liathach,6.9,5.6,5.6,9.6,"5.6,5.6,9.6"
Baosbheinn,4.6,3.2,4.0,6.7,"3.2,4.0,6.7"
Beinn Tarsuinn Corbett,3.2,4.8,3.2,1.6,"4.8,3.2,1.6"
Beinn na Caillich (Knoydart),4.0,3.2,3.2,5.6,"3.2,3.2,5.6"
Ben Nevis,8.5,8.8,8.8,8.0,"8.8,8.8,8.0"
Aonach Mor,7.7,7.2,8.0,8.0,"7.2,8.0,8.0"
