location,avg_score,am_score,pm_score,night_score,all_scores
Suilven,3.5,2.5,6.0,2.1,"2.5,6.0,2.1"
Stac Pollaidh,3.6,2.4,6.0,2.5,"2.4,6.0,2.5"
Bidean nam Bian,2.6,2.0,3.0,2.7,"2.0,3.0,2.7"
Buachaille Etive Mor,2.0,2.0,2.4,1.6,"2.0,2.4,1.6"
Ben Starav,2.2,2.4,3.0,1.2,"2.4,3.0,1.2"
Bla Bheinn,4.5,6.5,3.8,3.2,"6.5,3.8,3.2"
Cul Beag,3.6,2.0,5.7,3.0,"2.0,5.7,3.0"
Beinn Tarsuinn Corbett,2.3,3.0,2.1,1.7,"3.0,2.1,1.7"
Beinn Damh,3.5,2.3,5.3,2.8,"2.3,5.3,2.8"
An Ruadh Stac,3.4,2.2,4.7,3.4,"2.2,4.7,3.4"
Slioch,4.2,3.2,5.3,4.0,"3.2,5.3,4.0"
Baosbheinn,3.9,2.9,4.5,4.2,"2.9,4.5,4.2"
Beinn Dearg Mor,4.2,2.2,5.5,4.9,"2.2,5.5,4.9"
Beinn Eighe,4.5,3.5,5.1,5.0,"3.5,5.1,5.0"
Beinn Alligin - Sgurr Mor,4.4,4.4,5.3,3.6,"4.4,5.3,3.6"
Beinn na Caillich (Knoydart),2.9,2.2,4.9,1.7,"2.2,4.9,1.7"
