location,avg_score,am_score,pm_score,night_score,all_scores
Ben Avon,9.6,7.8,8.2,12.8,"7.8,8.2,12.8"
Braeriach,10.9,10.4,10.8,11.5,"10.4,10.8,11.5"
Cairn Toul,10.9,10.4,10.8,11.5,"10.4,10.8,11.5"
Ben Macdui,11.2,10.4,10.8,12.5,"10.4,10.8,12.5"
Stac Pollaidh,11.5,12.6,1.0,20.9,"12.6,1.0,20.9"
Suilven,11.9,13.4,2.0,20.3,"13.4,2.0,20.3"
Buachaille Etive Mor,10.2,4.0,8.0,18.5,"4.0,8.0,18.5"
Ben Starav,11.0,4.0,8.6,20.3,"4.0,8.6,20.3"
Bidean nam Bian,12.6,5.8,9.2,22.7,"5.8,9.2,22.7"
Bla Bheinn,17.0,9.0,6.4,35.6,"9.0,6.4,35.6"
Beinn Eighe,16.7,11.2,5.0,34.0,"11.2,5.0,34.0"
Beinn Alligin - Sgurr Mor,16.1,10.6,4.5,33.2,"10.6,4.5,33.2"
Cul Beag,12.7,13.5,1.8,22.9,"13.5,1.8,22.9"
Beinn Damh,16.2,9.3,4.5,34.7,"9.3,4.5,34.7"
An Ruadh Stac,16.1,9.0,4.5,34.9,"9.0,4.5,34.9"
Slioch,15.7,11.2,4.7,31.2,"11.2,4.7,31.2"
Beinn Dearg Mor,13.7,9.9,3.7,27.6,"9.9,3.7,27.6"
Liathach,17.8,11.6,6.0,35.7,"11.6,6.0,35.7"
Baosbheinn,15.3,9.9,4.3,31.8,"9.9,4.3,31.8"
Beinn Tarsuinn Corbett,2.1,2.4,1.2,2.7,"2.4,1.2,2.7"
Beinn na Caillich (Knoydart),16.4,6.9,5.0,37.3,"6.9,5.0,37.3"
Ben Nevis,15.5,9.4,9.9,27.2,"9.4,9.9,27.2"
Aonach Mor,13.9,8.4,8.7,24.6,"8.4,8.7,24.6"
