location,avg_score,am_score,pm_score,night_score,all_scores
Suilven,1.3,0.3,0.8,2.9,"0.8,2.9,0.3"
Stac Pollaidh,1.1,0.3,0.8,2.1,"0.8,2.1,0.3"
Bidean nam Bian,2.0,1.7,3.4,0.8,"3.4,0.8,1.7"
Buachaille Etive Mor,1.5,2.0,1.5,1.0,"1.5,1.0,2.0"
Ben Starav,2.1,1.8,2.8,1.8,"2.8,1.8,1.8"
Bla Bheinn,2.0,0.6,2.5,2.8,"2.5,2.8,0.6"
Beinn Tarsuinn Corbett,1.0,2.5,0.2,0.4,"0.2,0.4,2.5"
Beinn Eighe,2.6,1.1,3.0,3.7,"3.0,3.7,1.1"
Cul Beag,1.9,1.1,0.8,3.7,"0.8,3.7,1.1"
Baosbheinn,2.4,0.8,2.2,4.3,"2.2,4.3,0.8"
Beinn Damh,2.2,0.9,2.2,3.6,"2.2,3.6,0.9"
An Ruadh Stac,2.1,1.0,2.0,3.4,"2.0,3.4,1.0"
Beinn Dearg Mor,3.3,1.6,3.4,4.8,"3.4,4.8,1.6"
Slioch,2.3,1.1,3.1,2.7,"3.1,2.7,1.1"
Beinn Alligin - Sgurr Mor,2.3,1.0,3.0,3.0,"3.0,3.0,1.0"
Beinn na Caillich (Knoydart),0.8,1.2,0.4,0.9,"0.4,0.9,1.2"
