location,avg_score,am_score,pm_score,night_score,all_scores
Suilven,4.9,7.1,5.5,2.2,"7.1,5.5,2.2"
Stac Pollaidh,4.7,7.2,4.8,2.2,"7.2,4.8,2.2"
Buachaille Etive Mor,1.8,1.3,4.0,0,"1.3,4.0,0"
Bidean nam Bian,3.2,3.2,6.2,0.2,"3.2,6.2,0.2"
Ben Starav,3.3,3.4,6.2,0.2,"3.4,6.2,0.2"
Bla Bheinn,2.4,2.7,3.8,0.8,"2.7,3.8,0.8"
An Ruadh Stac,4.4,6.2,4.9,2.1,"6.2,4.9,2.1"
Beinn Dearg Mor,5.9,8.4,6.3,3.0,"8.4,6.3,3.0"
Beinn Damh,4.4,6.2,4.9,2.2,"6.2,4.9,2.2"
Cul Beag,5.2,8.1,5.3,2.2,"8.1,5.3,2.2"
Baosbheinn,4.9,6.5,5.5,2.8,"6.5,5.5,2.8"
Slioch,5.7,8.8,5.9,2.5,"8.8,5.9,2.5"
Beinn Eighe,5.9,8.3,6.9,2.5,"8.3,6.9,2.5"
Liathach,5.9,8.3,6.9,2.5,"8.3,6.9,2.5"
Beinn Tarsuinn Corbett,2.7,4.5,2.3,1.2,"4.5,2.3,1.2"
Beinn Alligin - Sgurr Mor,5.4,7.1,6.3,2.8,"7.1,6.3,2.8"
Beinn na Caillich (Knoydart),3.4,3.8,5.6,0.9,"3.8,5.6,0.9"
