location,avg_score,am_score,pm_score,night_score,all_scores
Suilven,22.7,16.4,21.5,30.3,"16.4,21.5,30.3"
Stac Pollaidh,18.3,9.8,20.6,24.5,"9.8,20.6,24.5"
Bidean nam Bian,18.5,13.4,18.0,24.0,"13.4,18.0,24.0"
Buachaille Etive Mor,12.1,8.8,10.6,16.8,"8.8,10.6,16.8"
Ben Starav,16.8,10.4,18.0,22.1,"10.4,18.0,22.1"
Bla Bheinn,14.2,9.3,18.1,15.3,"9.3,18.1,15.3"
Cul Beag,22.3,16.4,22.2,28.2,"16.4,22.2,28.2"
Beinn Tarsuinn Corbett,5.2,6.3,0,9.2,"6.3,0,9.2"
Beinn Damh,21.4,12.3,27.4,24.6,"12.3,27.4,24.6"
An Ruadh Stac,21.4,11.6,27.9,24.6,"11.6,27.9,24.6"
Slioch,26.7,15.1,36.4,28.7,"15.1,36.4,28.7"
Baosbheinn,23.4,10.0,30.9,29.3,"10.0,30.9,29.3"
Beinn Dearg Mor,29.1,15.1,37.1,35.0,"15.1,37.1,35.0"
Beinn Eighe,29.6,17.6,38.0,33.2,"17.6,38.0,33.2"
Beinn Alligin - Sgurr Mor,25.5,16.0,34.5,26.0,"16.0,34.5,26.0"
Beinn na Caillich (Knoydart),15.0,7.0,16.0,22.1,"7.0,16.0,22.1"
