location,avg_score,am_score,pm_score,night_score,all_scores
Suilven,0.3,0.4,0,0.4,"0.4,0,0.4"
Stac Pollaidh,0.3,0.4,0,0.6,"0.4,0,0.6"
Buachaille Etive Mor,5.2,1.0,0.4,14.2,"1.0,0.4,14.2"
Bidean nam Bian,4.9,0.9,0.3,13.6,"0.9,0.3,13.6"
Ben Starav,5.6,0.8,0.3,15.6,"0.8,0.3,15.6"
Bla Bheinn,1.9,0,0,5.7,"0,0,5.7"
An Ruadh Stac,1.6,0.6,0,4.2,"0.6,0,4.2"
Beinn Dearg Mor,1.1,1.2,0,2.0,"1.2,0,2.0"
Beinn Damh,1.4,0.4,0,3.9,"0.4,0,3.9"
Cul Beag,0.3,0.4,0,0.6,"0.4,0,0.6"
Baosbheinn,1.0,0.4,0,2.5,"0.4,0,2.5"
Slioch,1.6,2.2,0,2.7,"2.2,0,2.7"
Beinn Eighe,1.8,2.2,0,3.2,"2.2,0,3.2"
Liathach,1.7,1.8,0,3.4,"1.8,0,3.4"
Beinn Tarsuinn Corbett,7.7,0,0,23.0,"0,0,23.0"
Beinn Alligin - Sgurr Mor,1.6,2.0,0,2.8,"2.0,0,2.8"
Beinn na Caillich (Knoydart),2.3,0,0,6.8,"0,0,6.8"
