location,avg_score,am_score,pm_score,night_score,all_scores
Suilven,55.6,28.2,42.9,95.6,"28.2,42.9,95.6"
Stac Pollaidh,51.1,21.0,39.8,92.4,"21.0,39.8,92.4"
Bidean nam Bian,75.8,65.5,60.8,101.2,"65.5,60.8,101.2"
Buachaille Etive Mor,68.8,77.6,48.1,80.8,"77.6,48.1,80.8"
Ben Starav,70.4,83.3,57.8,70.0,"83.3,57.8,70.0"
Bla Bheinn,55.3,50.6,36.4,79.0,"50.6,36.4,79.0"
Cul Beag,56.3,27.5,42.2,99.3,"27.5,42.2,99.3"
Beinn Tarsuinn Corbett,50.3,68.9,35.8,46.1,"68.9,35.8,46.1"
Beinn Damh,66.8,59.4,48.1,92.8,"59.4,48.1,92.8"
An Ruadh Stac,68.6,61.5,51.6,92.8,"61.5,51.6,92.8"
Slioch,63.8,45.0,52.5,94.0,"45.0,52.5,94.0"
Baosbheinn,60.3,49.7,44.5,86.8,"49.7,44.5,86.8"
Beinn Dearg Mor,58.4,32.7,49.6,92.8,"32.7,49.6,92.8"
Beinn Eighe,68.3,50.8,54.0,100.0,"50.8,54.0,100.0"
Beinn Alligin - Sgurr Mor,68.8,49.2,51.1,106.0,"49.2,51.1,106.0"
Beinn na Caillich (Knoydart),62.6,55.2,60.7,71.8,"55.2,60.7,71.8"
