location,avg_score,am_score,pm_score,night_score,all_scores
Suilven,0.5,1.4,0,0,"0,0,1.4"
Stac Pollaidh,1.2,1.4,0.7,1.4,"1.4,0.7,1.4"
Bidean nam Bian,1.2,2.1,0.7,0.7,"0.7,0.7,2.1"
Buachaille Etive Mor,1.2,2.1,0.7,0.7,"0.7,0.7,2.1"
Ben Starav,1.4,2.8,0.7,0.7,"0.7,0.7,2.8"
Bla Bheinn,2.1,2.8,0.7,2.8,"2.8,0.7,2.8"
Beinn Tarsuinn Corbett,0.5,0,0,1.4,"0,1.4,0"
Beinn Eighe,0.9,2.7,0,0,"0,0,2.7"
Cul Beag,0.5,1.4,0,0,"0,0,1.4"
Beinn Alligin - Sgurr Mor,3.0,2.7,1.4,4.9,"2.7,1.4,4.9"
Baosbheinn,0.5,1.4,0,0,"0,0,1.4"
Beinn Damh,0.7,2.1,0,0,"0,0,2.1"
An Ruadh Stac,0.7,2.1,0,0,"0,0,2.1"
Beinn Dearg Mor,0.5,1.4,0,0,"0,0,1.4"
Slioch,0.9,2.7,0,0,"0,0,2.7"
Liathach,3.2,2.7,1.4,5.6,"2.7,1.4,5.6"
Beinn na Caillich (Knoydart),0.2,0.7,0,0,"0,0,0.7"
