location,avg_score,am_score,pm_score,night_score,all_scores
Suilven,5.4,3.7,4.0,8.4,"3.7,4.0,8.4"
Stac Pollaidh,4.6,2.9,4.0,6.9,"2.9,4.0,6.9"
Bidean nam Bian,18.6,2.7,5.8,47.2,"2.7,5.8,47.2"
Buachaille Etive Mor,17.3,2.0,3.8,46.0,"2.0,3.8,46.0"
Ben Starav,18.4,2.9,5.1,47.3,"2.9,5.1,47.3"
Bla Bheinn,16.9,3.4,9.5,37.9,"3.4,9.5,37.9"
Cul Beag,5.6,3.7,4.0,9.2,"3.7,4.0,9.2"
Beinn Tarsuinn Corbett,12.0,0.2,4.2,31.5,"0.2,4.2,31.5"
Beinn Damh,13.8,3.5,5.5,32.3,"3.5,5.5,32.3"
An Ruadh Stac,13.4,3.5,5.5,31.1,"3.5,5.5,31.1"
Slioch,12.3,5.0,7.7,24.2,"5.0,7.7,24.2"
Baosbheinn,14.0,3.5,7.9,30.7,"3.5,7.9,30.7"
Beinn Dearg Mor,10.4,4.2,6.8,20.2,"4.2,6.8,20.2"
Beinn Eighe,14.3,5.2,7.9,29.7,"5.2,7.9,29.7"
Beinn Alligin - Sgurr Mor,16.1,5.3,9.0,33.9,"5.3,9.0,33.9"
Beinn na Caillich (Knoydart),14.1,1.2,4.6,36.6,"1.2,4.6,36.6"
