location,avg_score,am_score,pm_score,night_score,all_scores
Ben Avon,14.8,17.2,16.2,11.0,"17.2,16.2,11.0"
Braeriach,16.2,17.0,15.0,16.6,"17.0,15.0,16.6"
Cairn Toul,16.2,17.0,15.0,16.6,"17.0,15.0,16.6"
Ben Macdui,16.5,17.0,16.0,16.6,"17.0,16.0,16.6"
Stac Pollaidh,6.5,3.2,9.2,7.0,"9.2,7.0,3.2"
Suilven,7.3,4.0,10.0,7.8,"10.0,7.8,4.0"
Buachaille Etive Mor,7.3,9.2,4.0,8.8,"4.0,8.8,9.2"
Ben Starav,7.6,9.2,4.8,8.8,"4.8,8.8,9.2"
Bidean nam Bian,7.3,10.0,4.0,8.0,"4.0,8.0,10.0"
Bla Bheinn,4.5,3.2,4.0,6.4,"4.0,6.4,3.2"
Beinn Eighe,10.7,6.4,15.4,10.2,"6.4,15.4,10.2"
Baosbheinn,6.1,4.0,5.6,8.6,"5.6,8.6,4.0"
An Ruadh Stac,6.6,4.8,5.6,9.4,"5.6,9.4,4.8"
Beinn Alligin - Sgurr Mor,7.9,4.8,9.4,9.4,"4.8,9.4,9.4"
Cul Beag,5.9,4.0,7.0,6.8,"4.0,7.0,6.8"
Beinn Damh,6.6,4.8,5.6,9.4,"5.6,9.4,4.8"
Beinn Dearg Mor,7.9,5.6,5.6,12.4,"5.6,12.4,5.6"
Slioch,9.4,6.4,12.4,9.4,"6.4,12.4,9.4"
Liathach,7.9,6.4,7.2,10.2,"7.2,10.2,6.4"
Beinn Tarsuinn Corbett,2.9,3.2,1.6,4.0,"1.6,4.0,3.2"
Beinn na Caillich (Knoydart),3.7,3.2,4.0,4.0,"4.0,4.0,3.2"
Ben Nevis,11.4,12.4,7.2,14.6,"12.4,7.2,14.6"
Aonach Mor,10.9,11.6,6.4,14.6,"11.6,6.4,14.6"
