location,avg_score,am_score,pm_score,night_score,all_scores
Braeriach,15.9,20.4,17.6,9.8,"20.4,17.6,9.8"
Cairn Toul,15.9,20.4,17.6,9.8,"20.4,17.6,9.8"
Ben Avon,15.2,18.8,17.8,9.0,"18.8,17.8,9.0"
Ben Macdui,16.3,20.4,18.6,9.8,"20.4,18.6,9.8"
Suilven,15.9,19.5,21.2,7.0,"19.5,21.2,7.0"
Stac Pollaidh,14.3,17.1,20.5,5.3,"17.1,20.5,5.3"
Buachaille Etive Mor,10.9,14.2,12.2,6.2,"14.2,12.2,6.2"
Ben Starav,12.5,18.2,13.2,6.2,"18.2,13.2,6.2"
Bidean nam Bian,15.6,20.8,15.0,11.0,"20.8,15.0,11.0"
Bla Bheinn,15.5,25.2,16.4,4.8,"25.2,16.4,4.8"
Beinn Alligin - Sgurr Mor,19.9,28.8,21.4,9.4,"28.8,21.4,9.4"
Beinn Tarsuinn Corbett,11.7,11.4,13.2,10.6,"11.4,13.2,10.6"
Liathach,20.7,28.8,21.0,12.4,"28.8,21.0,12.4"
Beinn Eighe,18.3,27.0,18.4,9.4,"27.0,18.4,9.4"
Cul Beag,16.6,19.4,22.5,7.8,"19.4,22.5,7.8"
An Ruadh Stac,16.5,24.2,17.4,7.8,"24.2,17.4,7.8"
Beinn Damh,16.8,25.2,17.4,7.8,"25.2,17.4,7.8"
Baosbheinn,18.1,26.2,20.4,7.8,"26.2,20.4,7.8"
Slioch,16.6,21.0,19.4,9.4,"21.0,19.4,9.4"
Beinn Dearg Mor,17.4,21.2,22.4,8.6,"21.2,22.4,8.6"
Beinn na Caillich (Knoydart),13.5,18.8,15.5,6.2,"18.8,15.5,6.2"
Ben Nevis,13.7,20.4,17.6,3.2,"20.4,17.6,3.2"
Aonach Mor,12.7,18.8,16.8,2.4,"18.8,16.8,2.4"
