location,avg_score,am_score,pm_score,night_score,all_scores
Suilven,17.5,11.7,13.7,27.1,"11.7,13.7,27.1"
Stac Pollaidh,15.5,9.1,12.4,25.0,"9.1,12.4,25.0"
Bidean nam Bian,22.7,18.0,17.8,32.2,"18.0,17.8,32.2"
Buachaille Etive Mor,19.3,18.0,14.2,25.6,"18.0,14.2,25.6"
Ben Starav,20.2,20.1,17.0,23.6,"20.1,17.0,23.6"
Bla Bheinn,17.2,14.4,11.4,25.8,"14.4,11.4,25.8"
Cul Beag,17.7,11.5,13.5,28.1,"11.5,13.5,28.1"
Beinn Tarsuinn Corbett,16.9,21.2,12.8,16.7,"21.2,12.8,16.7"
Beinn Damh,19.9,17.8,13.3,28.6,"17.8,13.3,28.6"
An Ruadh Stac,20.3,18.2,14.1,28.6,"18.2,14.1,28.6"
Slioch,20.2,15.7,15.3,29.6,"15.7,15.3,29.6"
Baosbheinn,19.0,16.6,13.3,27.0,"16.6,13.3,27.0"
Beinn Dearg Mor,19.2,13.7,15.4,28.6,"13.7,15.4,28.6"
Beinn Eighe,21.5,17.8,15.6,31.2,"17.8,15.6,31.2"
Beinn Alligin - Sgurr Mor,21.6,17.1,15.0,32.6,"17.1,15.0,32.6"
Beinn na Caillich (Knoydart),17.5,14.3,15.1,23.2,"14.3,15.1,23.2"
