location,avg_score,am_score,pm_score,night_score,all_scores
Suilven,0.9,1.4,0.3,1.1,"0.3,1.1,1.4"
Stac Pollaidh,0.9,0.4,0.2,2.1,"0.4,0.2,2.1"
Bidean nam Bian,4.4,5.6,4.4,3.2,"4.4,3.2,5.6"
Buachaille Etive Mor,3.9,4.0,4.4,3.2,"4.4,3.2,4.0"
Ben Starav,4.7,4.6,6.2,3.2,"6.2,3.2,4.6"
Bla Bheinn,2.1,1.8,0.6,3.9,"1.8,0.6,3.9"
Beinn Tarsuinn Corbett,2.2,1.5,4.2,0.8,"4.2,0.8,1.5"
Beinn Eighe,3.9,4.1,4.9,2.6,"4.9,2.6,4.1"
Cul Beag,0.8,1.0,0.3,1.0,"0.3,1.0,1.0"
Beinn Alligin - Sgurr Mor,2.8,1.8,2.6,3.9,"1.8,2.6,3.9"
Baosbheinn,2.1,2.8,1.8,1.8,"1.8,1.8,2.8"
Beinn Damh,4.1,4.7,4.1,3.4,"4.1,3.4,4.7"
An Ruadh Stac,3.3,3.7,4.5,1.8,"4.5,1.8,3.7"
Beinn Dearg Mor,1.4,1.7,1.0,1.6,"1.0,1.6,1.7"
Slioch,4.0,3.8,4.9,3.2,"4.9,3.2,3.8"
Liathach,3.9,3.4,4.2,4.0,"3.4,4.2,4.0"
Beinn na Caillich (Knoydart),3.4,4.5,4.7,1.0,"4.7,1.0,4.5"
