location,avg_score,am_score,pm_score,night_score,all_scores
Suilven,41.1,46.2,19.8,57.4,"46.2,19.8,57.4"
Stac Pollaidh,41.9,41.3,20.6,63.7,"41.3,20.6,63.7"
Buachaille Etive Mor,29.9,23.9,27.6,38.2,"23.9,27.6,38.2"
Bidean nam Bian,37.8,31.9,33.2,48.3,"31.9,33.2,48.3"
Ben Starav,38.1,33.4,36.9,43.9,"33.4,36.9,43.9"
Bla Bheinn,81.4,30.4,67.3,146.5,"30.4,67.3,146.5"
An Ruadh Stac,124.8,59.8,60.6,254.1,"59.8,60.6,254.1"
Beinn Dearg Mor,96.0,52.9,31.0,204.1,"52.9,31.0,204.1"
Beinn Damh,123.2,60.5,54.4,254.8,"60.5,54.4,254.8"
Cul Beag,43.2,41.9,20.4,67.2,"41.9,20.4,67.2"
Baosbheinn,103.0,55.1,40.4,213.5,"55.1,40.4,213.5"
Slioch,110.7,57.0,40.1,234.9,"57.0,40.1,234.9"
Beinn Eighe,117.8,59.6,47.1,246.8,"59.6,47.1,246.8"
Liathach,120.4,60.4,49.9,251.0,"60.4,49.9,251.0"
Beinn Tarsuinn Corbett,11.2,14.2,10.3,9.2,"14.2,10.3,9.2"
Beinn Alligin - Sgurr Mor,110.3,57.7,43.9,229.3,"57.7,43.9,229.3"
Beinn na Caillich (Knoydart),74.7,33.3,65.6,125.3,"33.3,65.6,125.3"
