location,avg_score,am_score,pm_score,night_score,all_scores
Braeriach,23.1,26.2,14.2,28.8,"26.2,14.2,28.8"
Cairn Toul,23.4,25.2,13.2,31.8,"25.2,13.2,31.8"
Ben Avon,22.6,19.6,14.6,33.6,"19.6,14.6,33.6"
Ben Macdui,23.7,26.2,13.2,31.8,"26.2,13.2,31.8"
Suilven,14.9,10.2,4.8,29.6,"10.2,4.8,29.6"
Stac Pollaidh,13.0,7.8,3.8,27.4,"7.8,3.8,27.4"
Buachaille Etive Mor,28.5,36.4,16.4,32.6,"36.4,16.4,32.6"
Ben Starav,32.9,37.6,21.2,39.8,"37.6,21.2,39.8"
Bidean nam Bian,30.9,37.4,17.1,38.1,"37.4,17.1,38.1"
Bla Bheinn,37.9,38.7,14.3,60.7,"38.7,14.3,60.7"
Beinn Alligin - Sgurr Mor,29.4,24.0,12.8,51.4,"24.0,12.8,51.4"
Beinn Tarsuinn Corbett,22.8,29.6,15.0,23.8,"29.6,15.0,23.8"
Liathach,29.3,24.4,11.5,52.1,"24.4,11.5,52.1"
Beinn Eighe,26.9,23.1,9.5,48.0,"23.1,9.5,48.0"
Cul Beag,14.9,9.6,4.8,30.4,"9.6,4.8,30.4"
An Ruadh Stac,25.2,21.7,9.2,44.6,"21.7,9.2,44.6"
Beinn Damh,26.3,22.7,10.3,45.8,"22.7,10.3,45.8"
Baosbheinn,26.9,20.4,10.7,49.6,"20.4,10.7,49.6"
Slioch,24.1,19.1,9.2,44.0,"19.1,9.2,44.0"
Beinn Dearg Mor,23.7,17.2,8.6,45.4,"17.2,8.6,45.4"
Beinn na Caillich (Knoydart),27.6,25.8,11.8,45.1,"25.8,11.8,45.1"
Ben Nevis,31.4,36.0,13.7,44.4,"36.0,13.7,44.4"
Aonach Mor,27.3,31.4,12.8,37.6,"31.4,12.8,37.6"
