location,avg_score,am_score,pm_score,night_score,all_scores
Stac Pollaidh,15.7,16.0,12.2,18.8,"12.2,18.8,16.0"
Suilven,19.3,17.6,20.8,19.6,"20.8,19.6,17.6"
Buachaille Etive Mor,14.1,14.6,11.2,16.4,"11.2,16.4,14.6"
Ben Starav,14.0,15.4,11.2,15.4,"11.2,15.4,15.4"
Bidean nam Bian,15.3,16.4,12.2,17.4,"12.2,17.4,16.4"
Bla Bheinn,20.4,22.0,17.2,22.0,"17.2,22.0,22.0"
Baosbheinn,23.6,25.2,14.4,31.2,"14.4,31.2,25.2"
An Ruadh Stac,23.1,26.4,14.2,28.8,"14.2,28.8,26.4"
Beinn Damh,23.4,27.2,14.2,28.8,"14.2,28.8,27.2"
Beinn Eighe,26.9,29.0,18.8,32.8,"18.8,32.8,29.0"
Beinn Alligin - Sgurr Mor,26.3,30.8,15.2,33.0,"15.2,33.0,30.8"
Beinn Dearg Mor,21.8,22.2,18.2,25.0,"18.2,25.0,22.2"
Liathach,27.5,32.0,16.8,33.8,"16.8,33.8,32.0"
Beinn Tarsuinn Corbett,10.6,12.4,7.8,11.6,"7.8,11.6,12.4"
Slioch,26.3,29.0,17.2,32.8,"17.2,32.8,29.0"
Cul Beag,20.4,18.4,21.6,21.2,"21.6,21.2,18.4"
Beinn na Caillich (Knoydart),15.1,18.2,8.8,18.2,"8.8,18.2,18.2"
