location,avg_score,am_score,pm_score,night_score,all_scores
Ben Macdui,11.3,11.8,15.0,7.2,"15.0,7.2,11.8"
Braeriach,15.9,20.4,17.6,9.8,"20.4,17.6,9.8"
Cairn Toul,15.9,20.4,17.6,9.8,"20.4,17.6,9.8"
Ben Avon,15.2,18.8,17.8,9.0,"18.8,17.8,9.0"
Cairngorm,9.3,4.8,16.8,6.4,"16.8,6.4,4.8"
Stac Pollaidh,8.7,10.0,12.4,3.7,"12.4,3.7,10.0"
Ben More Coigach,9.8,11.6,13.7,4.0,"13.7,4.0,11.6"
Suilven,10.0,11.6,15.3,3.2,"15.3,3.2,11.6"
Buachaille Etive Mor,12.3,14.8,12.0,10.0,"12.0,10.0,14.8"
Ben Starav,17.9,14.8,24.4,14.6,"24.4,14.6,14.8"
Bidean nam Bian,14.1,12.4,17.6,12.4,"17.6,12.4,12.4"
Bla Bheinn,9.2,13.2,9.6,4.8,"9.6,4.8,13.2"
Beinn Tarsuinn Corbett,7.4,10.8,6.1,5.4,"6.1,5.4,10.8"
Beinn Alligin - Sgurr Mor,19.9,28.8,21.4,9.4,"28.8,21.4,9.4"
Cul Beag,10.8,12.4,15.1,4.8,"15.1,4.8,12.4"
Slioch,12.9,17.0,15.2,6.4,"15.2,6.4,17.0"
Beinn Dearg Mor,11.8,14.6,14.4,6.4,"14.4,6.4,14.6"
An Ruadh Stac,11.1,16.2,10.6,6.4,"10.6,6.4,16.2"
Liathach,20.7,28.8,21.0,12.4,"28.8,21.0,12.4"
Baosbheinn,9.6,12.4,11.6,4.8,"11.6,4.8,12.4"
Beinn Eighe,18.3,27.0,18.4,9.4,"27.0,18.4,9.4"
A'Mhaighdean,12.6,17.0,14.4,6.4,"14.4,6.4,17.0"
Beinn Damh,11.1,16.2,10.6,6.4,"10.6,6.4,16.2"
Beinn na Caillich (Knoydart),13.5,18.8,15.5,6.2,"18.8,15.5,6.2"
Aonach Mor,13.1,18.6,14.2,6.4,"14.2,6.4,18.6"
Ben Nevis,14.9,20.2,17.2,7.2,"17.2,7.2,20.2"
Aonach Beag,13.3,18.6,14.2,7.2,"14.2,7.2,18.6"
Carn Mor Dearg,13.3,18.6,14.2,7.2,"14.2,7.2,18.6"
Stob Ban (Grey Corries),9.7,10.8,9.8,8.6,"9.8,8.6,10.8"
