location,avg_score,am_score,pm_score,night_score,all_scores
Suilven,20.8,0,36.6,25.9,"36.6,25.9,0"
Stac Pollaidh,20.5,0,34.3,27.3,"34.3,27.3,0"
Bidean nam Bian,53.3,3.7,111.1,45.1,"111.1,45.1,3.7"
Buachaille Etive Mor,44.8,0.7,96.9,36.9,"96.9,36.9,0.7"
Ben Starav,53.7,3.7,109.0,48.4,"109.0,48.4,3.7"
Bla Bheinn,49.6,2.1,106.4,40.3,"106.4,40.3,2.1"
Beinn Tarsuinn Corbett,41.2,0,73.2,50.5,"73.2,50.5,0"
Beinn Eighe,33.0,5.8,66.8,26.3,"66.8,26.3,5.8"
Cul Beag,20.4,0,35.2,25.9,"35.2,25.9,0"
Baosbheinn,30.2,2.8,63.2,24.7,"63.2,24.7,2.8"
Beinn Damh,33.9,2.8,74.3,24.7,"74.3,24.7,2.8"
An Ruadh Stac,33.5,2.8,73.0,24.7,"73.0,24.7,2.8"
Beinn Dearg Mor,29.5,5.8,53.6,29.1,"53.6,29.1,5.8"
Slioch,30.9,5.1,60.5,27.0,"60.5,27.0,5.1"
Beinn Alligin - Sgurr Mor,35.6,5.8,72.6,28.4,"72.6,28.4,5.8"
Beinn na Caillich (Knoydart),52.2,1.4,112.5,42.7,"112.5,42.7,1.4"
