location,avg_score,am_score,pm_score,night_score,all_scores
Ben Macdui,13.7,12.4,16.2,12.6,"16.2,12.6,12.4"
Braeriach,18.5,17.0,17.2,21.4,"17.0,17.2,21.4"
Cairn Toul,19.6,17.0,17.2,24.6,"17.0,17.2,24.6"
Ben Avon,18.5,16.2,15.4,24.0,"16.2,15.4,24.0"
Stac Pollaidh,4.3,3.2,5.8,4.0,"5.8,4.0,3.2"
Suilven,5.8,4.8,6.8,5.8,"6.8,5.8,4.8"
Ben More Coigach,6.1,4.8,6.8,6.6,"6.8,6.6,4.8"
Buachaille Etive Mor,24.7,22.0,18.0,34.2,"18.0,34.2,22.0"
Ben Starav,30.4,22.0,23.0,46.2,"23.0,46.2,22.0"
Bidean nam Bian,29.5,23.8,24.6,40.2,"24.6,40.2,23.8"
Bla Bheinn,18.9,15.4,22.0,19.4,"22.0,19.4,15.4"
Beinn Tarsuinn Corbett,13.1,4.8,14.6,19.8,"14.6,19.8,4.8"
Beinn Alligin - Sgurr Mor,13.4,14.0,18.0,8.2,"14.0,18.0,8.2"
Beinn Dearg Mor,8.9,6.4,12.0,8.4,"12.0,8.4,6.4"
An Ruadh Stac,13.3,12.4,16.2,11.2,"16.2,11.2,12.4"
Liathach,12.2,15.6,13.8,7.2,"15.6,13.8,7.2"
Baosbheinn,12.0,6.4,18.2,11.4,"18.2,11.4,6.4"
Beinn Eighe,11.4,14.0,13.0,7.2,"14.0,13.0,7.2"
Cul Beag,6.1,4.8,6.8,6.6,"6.8,6.6,4.8"
A'Mhaighdean,9.5,6.4,12.0,10.2,"12.0,10.2,6.4"
Beinn Damh,13.9,12.4,18.0,11.2,"18.0,11.2,12.4"
Slioch,10.7,8.0,12.0,12.2,"12.0,12.2,8.0"
Beinn na Caillich (Knoydart),7.8,7.4,10.4,5.6,"7.4,10.4,5.6"
Aonach Mor,26.2,29.8,20.6,28.2,"20.6,28.2,29.8"
Ben Nevis,22.2,18.2,24.6,23.8,"18.2,24.6,23.8"
