location,avg_score,am_score,pm_score,night_score,all_scores
Suilven,18.1,0,0,54.4,"0,0,54.4"
Stac Pollaidh,18.4,0,0,55.3,"0,0,55.3"
Buachaille Etive Mor,13.4,0,23.5,16.8,"0,23.5,16.8"
Bidean nam Bian,12.8,0,20.4,17.9,"0,20.4,17.9"
Ben Starav,14.4,6.0,25.2,11.9,"6.0,25.2,11.9"
Bla Bheinn,19.3,0,25.7,32.2,"0,25.7,32.2"
An Ruadh Stac,22.9,0,9.1,59.7,"0,9.1,59.7"
Beinn Dearg Mor,32.2,0,2.7,94.0,"0,2.7,94.0"
Beinn Damh,23.2,0,9.8,59.7,"0,9.8,59.7"
Cul Beag,19.6,0,0,58.8,"0,0,58.8"
Baosbheinn,25.0,0,5.6,69.3,"0,5.6,69.3"
Slioch,32.6,0,9.5,88.4,"0,9.5,88.4"
Beinn Eighe,27.1,0,5.6,75.8,"0,5.6,75.8"
Liathach,28.0,0,7.0,76.9,"0,7.0,76.9"
Beinn Tarsuinn Corbett,49.4,9.7,87.5,51.1,"9.7,87.5,51.1"
Beinn Alligin - Sgurr Mor,25.3,0,7.0,68.8,"0,7.0,68.8"
Beinn na Caillich (Knoydart),6.0,0,10.9,7.0,"0,10.9,7.0"
