location,avg_score,am_score,pm_score,night_score,all_scores
Stac Pollaidh,8.1,,9.2,7.0,"9.2,7.0"
Suilven,8.9,,10.0,7.8,"10.0,7.8"
Buachaille Etive Mor,6.4,,4.0,8.8,"4.0,8.8"
Ben Starav,6.8,,4.8,8.8,"4.8,8.8"
Bidean nam Bian,6.0,,4.0,8.0,"4.0,8.0"
Bla Bheinn,5.2,,4.0,6.4,"4.0,6.4"
Baosbheinn,7.1,,5.6,8.6,"5.6,8.6"
An Ruadh Stac,7.5,,5.6,9.4,"5.6,9.4"
Beinn Damh,7.5,,5.6,9.4,"5.6,9.4"
Beinn Eighe,8.3,,6.4,10.2,"6.4,10.2"
Beinn Alligin - Sgurr Mor,7.9,,5.6,10.2,"5.6,10.2"
Beinn Dearg Mor,9.0,,5.6,12.4,"5.6,12.4"
Liathach,8.7,,7.2,10.2,"7.2,10.2"
Beinn Tarsuinn Corbett,2.8,,1.6,4.0,"1.6,4.0"
Slioch,8.3,,6.4,10.2,"6.4,10.2"
Cul Beag,8.2,,7.8,8.6,"7.8,8.6"
Beinn na Caillich (Knoydart),4.0,,4.0,4.0,"4.0,4.0"
