location,avg_score,am_score,pm_score,night_score,all_scores
Ben Macdui,7.6,4.8,12.4,5.6,"12.4,5.6,4.8"
Braeriach,9.9,9.6,10.6,9.6,"9.6,10.6,9.6"
Cairn Toul,9.9,9.6,10.6,9.6,"9.6,10.6,9.6"
Ben Avon,8.9,8.8,9.8,8.0,"8.8,9.8,8.0"
Stac Pollaidh,2.9,2.4,4.0,2.4,"4.0,2.4,2.4"
Suilven,3.5,2.4,4.8,3.2,"4.8,3.2,2.4"
Ben More Coigach,3.7,3.2,4.8,3.2,"4.8,3.2,3.2"
Buachaille Etive Mor,5.8,2.4,9.4,5.6,"9.4,5.6,2.4"
Ben Starav,6.3,2.4,11.0,5.6,"11.0,5.6,2.4"
Bidean nam Bian,6.6,2.4,11.0,6.4,"11.0,6.4,2.4"
Bla Bheinn,6.8,3.2,11.6,5.6,"11.6,5.6,3.2"
Beinn Tarsuinn Corbett,3.5,2.4,4.0,4.0,"4.0,4.0,2.4"
Beinn Alligin - Sgurr Mor,8.1,7.2,9.0,8.0,"7.2,9.0,8.0"
Beinn Dearg Mor,4.8,3.2,6.4,4.8,"6.4,4.8,3.2"
An Ruadh Stac,6.3,4.0,9.4,5.6,"9.4,5.6,4.0"
Liathach,8.3,7.2,9.0,8.8,"7.2,9.0,8.8"
Baosbheinn,4.5,3.2,5.6,4.8,"5.6,4.8,3.2"
Beinn Eighe,8.1,7.2,9.0,8.0,"7.2,9.0,8.0"
Cul Beag,3.7,3.2,4.8,3.2,"4.8,3.2,3.2"
A'Mhaighdean,5.1,4.0,7.2,4.0,"7.2,4.0,4.0"
Beinn Damh,6.3,4.0,9.4,5.6,"9.4,5.6,4.0"
Slioch,5.6,4.0,7.2,5.6,"7.2,5.6,4.0"
Beinn na Caillich (Knoydart),6.9,5.6,9.4,5.6,"5.6,9.4,5.6"
Aonach Mor,6.9,2.4,11.8,6.4,"11.8,6.4,2.4"
Ben Nevis,11.9,9.6,16.6,9.6,"9.6,16.6,9.6"
