location,avg_score,am_score,pm_score,night_score,all_scores
Ben Avon,9.2,9.1,6.8,11.8,"9.1,6.8,11.8"
Braeriach,11.3,10.9,9.6,13.3,"10.9,9.6,13.3"
Cairn Toul,11.3,10.9,9.6,13.3,"10.9,9.6,13.3"
Ben Macdui,11.3,10.9,9.6,13.3,"10.9,9.6,13.3"
Stac Pollaidh,13.9,20.9,11.0,9.9,"20.9,11.0,9.9"
Suilven,15.3,21.6,12.0,12.2,"21.6,12.0,12.2"
Buachaille Etive Mor,8.9,6.9,7.6,12.3,"6.9,7.6,12.3"
Ben Starav,10.0,7.2,7.9,14.9,"7.2,7.9,14.9"
Bidean nam Bian,11.1,8.7,10.9,13.8,"8.7,10.9,13.8"
Bla Bheinn,16.0,17.1,17.8,13.2,"17.1,17.8,13.2"
Beinn Eighe,18.0,19.7,21.8,12.5,"19.7,21.8,12.5"
Beinn Alligin - Sgurr Mor,18.8,20.5,22.1,13.9,"20.5,22.1,13.9"
Cul Beag,14.7,20.8,11.4,11.8,"20.8,11.4,11.8"
Beinn Damh,18.3,19.5,23.8,11.7,"19.5,23.8,11.7"
An Ruadh Stac,17.8,18.9,23.6,10.8,"18.9,23.6,10.8"
Slioch,17.2,19.8,18.5,13.4,"19.8,18.5,13.4"
Beinn Dearg Mor,15.5,18.6,15.6,12.3,"18.6,15.6,12.3"
Liathach,18.3,19.9,22.8,12.2,"19.9,22.8,12.2"
Baosbheinn,17.4,19.5,20.5,12.1,"19.5,20.5,12.1"
Beinn Tarsuinn Corbett,3.1,1.6,1.4,6.2,"1.6,1.4,6.2"
Beinn na Caillich (Knoydart),19.2,19.1,24.8,13.8,"19.1,24.8,13.8"
Ben Nevis,14.0,12.0,13.5,16.4,"12.0,13.5,16.4"
Aonach Mor,11.6,8.9,12.2,13.7,"8.9,12.2,13.7"
