location,avg_score,am_score,pm_score,night_score,all_scores
Stac Pollaidh,3.4,2.6,4.2,3.5,"4.2,3.5,2.6"
Suilven,4.5,3.2,7.0,3.2,"7.0,3.2,3.2"
Buachaille Etive Mor,7.4,5.6,10.2,6.4,"10.2,6.4,5.6"
Ben Starav,7.7,5.6,11.2,6.4,"11.2,6.4,5.6"
Bidean nam Bian,8.5,6.4,12.0,7.2,"12.0,7.2,6.4"
Bla Bheinn,13.6,9.2,19.4,12.2,"19.4,12.2,9.2"
Baosbheinn,6.1,4.0,9.4,4.8,"9.4,4.8,4.0"
An Ruadh Stac,5.7,4.8,6.6,5.6,"6.6,5.6,4.8"
Beinn Damh,6.0,4.8,7.6,5.6,"7.6,5.6,4.8"
Beinn Eighe,7.1,5.6,9.4,6.4,"9.4,6.4,5.6"
Beinn Alligin - Sgurr Mor,6.6,4.8,9.4,5.6,"9.4,5.6,4.8"
Beinn Dearg Mor,6.3,4.0,8.4,6.4,"8.4,6.4,4.0"
Liathach,7.4,5.6,10.2,6.4,"10.2,6.4,5.6"
Beinn Tarsuinn Corbett,6.2,3.9,9.6,5.2,"9.6,5.2,3.9"
Slioch,7.1,5.6,9.4,6.4,"9.4,6.4,5.6"
Cul Beag,5.2,4.0,6.8,4.8,"6.8,4.8,4.0"
Beinn na Caillich (Knoydart),5.6,3.2,6.6,7.0,"6.6,7.0,3.2"
