location,avg_score,am_score,pm_score,night_score,all_scores
Suilven,32.0,43.2,29.1,23.6,"43.2,29.1,23.6"
Stac Pollaidh,26.3,37.2,24.1,17.6,"37.2,24.1,17.6"
Bidean nam Bian,46.4,65.2,34.5,39.4,"65.2,34.5,39.4"
Buachaille Etive Mor,40.1,61.0,27.2,32.1,"61.0,27.2,32.1"
Ben Starav,37.3,53.2,27.2,31.4,"53.2,27.2,31.4"
Bla Bheinn,35.4,44.9,26.0,35.2,"44.9,26.0,35.2"
Cul Beag,34.0,49.5,29.1,23.5,"49.5,29.1,23.5"
Beinn Tarsuinn Corbett,16.0,22.3,14.0,11.6,"22.3,14.0,11.6"
Beinn Damh,45.9,66.0,42.3,29.5,"66.0,42.3,29.5"
An Ruadh Stac,46.3,70.2,39.3,29.5,"70.2,39.3,29.5"
Slioch,45.3,68.2,38.8,28.9,"68.2,38.8,28.9"
Baosbheinn,40.4,58.1,32.8,30.2,"58.1,32.8,30.2"
Beinn Dearg Mor,43.6,71.4,38.6,20.9,"71.4,38.6,20.9"
Beinn Eighe,46.6,71.2,38.8,29.8,"71.2,38.8,29.8"
Beinn Alligin - Sgurr Mor,44.2,68.2,37.5,26.8,"68.2,37.5,26.8"
Beinn na Caillich (Knoydart),35.3,46.2,30.3,29.3,"46.2,30.3,29.3"
