location,avg_score,am_score,pm_score,night_score,all_scores
Braeriach,28.6,38.8,25.8,21.2,"38.8,25.8,21.2"
Cairn Toul,28.1,38.8,25.8,19.6,"38.8,25.8,19.6"
Ben Avon,22.7,20.6,28.0,19.6,"20.6,28.0,19.6"
Ben Macdui,28.3,35.0,28.8,21.2,"35.0,28.8,21.2"
Suilven,7.5,4.0,5.6,12.8,"4.0,5.6,12.8"
Stac Pollaidh,6.1,2.4,4.8,11.2,"2.4,4.8,11.2"
Buachaille Etive Mor,18.5,26.8,10.4,18.2,"26.8,10.4,18.2"
Ben Starav,18.1,26.8,11.4,16.2,"26.8,11.4,16.2"
Bidean nam Bian,19.9,27.6,12.2,20.0,"27.6,12.2,20.0"
Bla Bheinn,9.5,5.6,10.2,12.8,"5.6,10.2,12.8"
Beinn Alligin - Sgurr Mor,9.5,3.2,11.0,14.4,"3.2,11.0,14.4"
Beinn Tarsuinn Corbett,11.7,16.6,8.2,10.2,"16.6,8.2,10.2"
Liathach,10.6,2.4,13.4,16.0,"2.4,13.4,16.0"
Beinn Eighe,8.3,2.4,8.0,14.4,"2.4,8.0,14.4"
Cul Beag,6.9,3.2,5.6,12.0,"3.2,5.6,12.0"
An Ruadh Stac,6.9,1.6,7.2,11.8,"1.6,7.2,11.8"
Beinn Damh,6.9,1.6,7.2,11.8,"1.6,7.2,11.8"
Baosbheinn,7.4,3.2,7.2,11.8,"3.2,7.2,11.8"
Slioch,8.0,1.6,8.0,14.4,"1.6,8.0,14.4"
Beinn Dearg Mor,8.8,3.2,9.6,13.6,"3.2,9.6,13.6"
Beinn na Caillich (Knoydart),10.5,6.2,13.2,12.2,"6.2,13.2,12.2"
Ben Nevis,21.6,26.2,13.8,24.8,"26.2,13.8,24.8"
Aonach Mor,20.2,24.6,12.2,23.8,"24.6,12.2,23.8"
