location,avg_score,am_score,pm_score,night_score,all_scores
Suilven,0,,0,0,"0,0"
Stac Pollaidh,0,,0,0,"0,0"
Bidean nam Bian,0.7,,0.7,0.7,"0.7,0.7"
Buachaille Etive Mor,0.7,,0.7,0.7,"0.7,0.7"
Ben Starav,0.7,,0.7,0.7,"0.7,0.7"
Bla Bheinn,0,,0,0,"0,0"
Beinn Tarsuinn Corbett,0.7,,0,1.4,"0,1.4"
Beinn Eighe,0,,0,0,"0,0"
Cul Beag,0,,0,0,"0,0"
Baosbheinn,0,,0,0,"0,0"
Beinn Damh,0,,0,0,"0,0"
An Ruadh Stac,0,,0,0,"0,0"
Beinn Dearg Mor,0,,0,0,"0,0"
Slioch,0,,0,0,"0,0"
Beinn Alligin - Sgurr Mor,0,,0,0,"0,0"
Beinn na Caillich (Knoydart),0,,0,0,"0,0"
