location,avg_score,am_score,pm_score,night_score,all_scores
Braeriach,10.7,8.0,12.4,11.8,"8.0,12.4,11.8"
Cairn Toul,11.2,8.0,10.8,14.8,"8.0,10.8,14.8"
Ben Avon,10.9,8.0,10.0,14.8,"8.0,10.0,14.8"
Ben Macdui,11.7,8.0,12.4,14.8,"8.0,12.4,14.8"
Suilven,4.3,3.2,4.8,4.8,"3.2,4.8,4.8"
Stac Pollaidh,3.7,3.2,3.2,4.8,"3.2,3.2,4.8"
Buachaille Etive Mor,7.9,9.8,8.6,5.4,"9.8,8.6,5.4"
Ben Starav,7.3,13.8,5.6,2.4,"13.8,5.6,2.4"
Bidean nam Bian,6.5,10.8,6.4,2.4,"10.8,6.4,2.4"
Bla Bheinn,5.1,5.6,5.6,4.0,"5.6,5.6,4.0"
Beinn Alligin - Sgurr Mor,5.6,4.8,5.6,6.4,"4.8,5.6,6.4"
Beinn Tarsuinn Corbett,8.9,21.2,4.8,0.8,"21.2,4.8,0.8"
Liathach,6.5,4.8,8.2,6.4,"4.8,8.2,6.4"
Beinn Eighe,5.9,4.8,6.4,6.4,"4.8,6.4,6.4"
Cul Beag,4.8,4.0,4.8,5.6,"4.0,4.8,5.6"
An Ruadh Stac,5.6,4.8,5.6,6.4,"4.8,5.6,6.4"
Beinn Damh,5.6,4.8,5.6,6.4,"4.8,5.6,6.4"
Baosbheinn,4.8,4.0,5.6,4.8,"4.0,5.6,4.8"
Slioch,6.5,4.8,7.4,7.2,"4.8,7.4,7.2"
Beinn Dearg Mor,5.3,4.0,6.4,5.6,"4.0,6.4,5.6"
Beinn na Caillich (Knoydart),4.0,5.6,3.2,3.2,"5.6,3.2,3.2"
Ben Nevis,9.9,12.4,8.0,9.4,"12.4,8.0,9.4"
Aonach Mor,8.0,10.6,7.2,6.2,"10.6,7.2,6.2"
