location,avg_score,am_score,pm_score,night_score,all_scores
Suilven,2.3,2.0,0.4,4.4,"0.4,4.4,2.0"
Stac Pollaidh,2.0,0.8,0.9,4.2,"0.8,0.9,4.2"
Bidean nam Bian,6.0,6.2,6.1,5.6,"6.1,5.6,6.2"
Buachaille Etive Mor,4.3,3.6,4.6,4.8,"4.6,4.8,3.6"
Ben Starav,4.6,4.0,5.0,4.8,"5.0,4.8,4.0"
Bla Bheinn,1.7,0.8,1.8,2.4,"0.8,1.8,2.4"
Beinn Tarsuinn Corbett,2.1,3.2,0.8,2.4,"0.8,2.4,3.2"
Beinn Eighe,4.5,6.2,2.6,4.8,"2.6,4.8,6.2"
Cul Beag,2.7,2.2,0.4,5.6,"0.4,5.6,2.2"
Beinn Alligin - Sgurr Mor,3.1,1.9,2.7,4.8,"1.9,2.7,4.8"
Baosbheinn,3.8,7.2,1.1,3.2,"1.1,3.2,7.2"
Beinn Damh,4.6,7.2,2.7,4.0,"2.7,4.0,7.2"
An Ruadh Stac,3.6,6.5,1.1,3.2,"1.1,3.2,6.5"
Beinn Dearg Mor,3.6,4.6,2.9,3.2,"2.9,3.2,4.6"
Slioch,4.5,6.2,2.6,4.8,"2.6,4.8,6.2"
Liathach,3.4,2.7,3.5,4.0,"2.7,3.5,4.0"
Beinn na Caillich (Knoydart),1.5,2.1,0.3,2.2,"0.3,2.2,2.1"
