location,avg_score,am_score,pm_score,night_score,all_scores
Suilven,13.2,9.7,5.0,24.8,"9.7,5.0,24.8"
Stac Pollaidh,11.2,6.7,5.0,21.9,"6.7,5.0,21.9"
Bidean nam Bian,72.1,10.4,17.8,188.1,"10.4,17.8,188.1"
Buachaille Etive Mor,71.9,8.1,12.9,194.6,"8.1,12.9,194.6"
Ben Starav,70.6,11.1,15.5,185.1,"11.1,15.5,185.1"
Bla Bheinn,56.2,10.8,18.9,138.8,"10.8,18.9,138.8"
Cul Beag,14.2,9.7,5.0,27.8,"9.7,5.0,27.8"
Beinn Tarsuinn Corbett,40.1,0.7,5.7,114.0,"0.7,5.7,114.0"
Beinn Damh,47.9,11.4,11.5,120.7,"11.4,11.5,120.7"
An Ruadh Stac,47.0,11.4,11.5,118.0,"11.4,11.5,118.0"
Slioch,40.1,14.3,16.6,89.5,"14.3,16.6,89.5"
Baosbheinn,46.4,11.4,14.9,113.0,"11.4,14.9,113.0"
Beinn Dearg Mor,32.8,11.3,12.9,74.2,"11.3,12.9,74.2"
Beinn Eighe,47.5,15.0,17.4,110.0,"15.0,17.4,110.0"
Beinn Alligin - Sgurr Mor,52.7,15.7,19.3,123.0,"15.7,19.3,123.0"
Beinn na Caillich (Knoydart),52.6,5.6,7.8,144.5,"5.6,7.8,144.5"
