location,avg_score,am_score,pm_score,night_score,all_scores
Stac Pollaidh,1.0,2.2,0.2,0.6,"2.2,0.2,0.6"
Suilven,1.3,3.2,0.2,0.6,"3.2,0.2,0.6"
Buachaille Etive Mor,2.9,2.6,1.9,4.3,"2.6,1.9,4.3"
Ben Starav,4.7,4.0,3.2,6.9,"4.0,3.2,6.9"
Bidean nam Bian,4.3,3.8,2.9,6.1,"3.8,2.9,6.1"
Bla Bheinn,6.6,4.9,7.2,7.7,"4.9,7.2,7.7"
Beinn Tarsuinn Corbett,3.5,2.6,3.8,4.2,"2.6,3.8,4.2"
Beinn Alligin - Sgurr Mor,2.7,2.6,0.6,4.8,"2.6,0.6,4.8"
Beinn Eighe,1.9,2.6,0.3,2.8,"2.6,0.3,2.8"
Beinn Damh,2.1,1.6,0.6,4.1,"1.6,0.6,4.1"
Baosbheinn,2.2,1.6,0.4,4.5,"1.6,0.4,4.5"
Slioch,1.9,3.8,0.3,1.5,"3.8,0.3,1.5"
Liathach,2.1,2.8,0.3,3.3,"2.8,0.3,3.3"
Beinn Dearg Mor,1.7,3.9,0.2,1.0,"3.9,0.2,1.0"
Cul Beag,1.6,4.2,0.2,0.4,"4.2,0.2,0.4"
An Ruadh Stac,1.8,1.8,0.4,3.3,"1.8,0.4,3.3"
Beinn na Caillich (Knoydart),3.2,1.9,4.0,3.8,"1.9,4.0,3.8"
