location,avg_score,am_score,pm_score,night_score,all_scores
Braeriach,9.9,9.6,10.6,9.6,"9.6,10.6,9.6"
Cairn Toul,9.9,9.6,10.6,9.6,"9.6,10.6,9.6"
Ben Avon,8.9,8.8,9.8,8.0,"8.8,9.8,8.0"
Ben Macdui,9.9,9.6,10.6,9.6,"9.6,10.6,9.6"
Suilven,5.1,4.8,4.8,5.6,"4.8,4.8,5.6"
Stac Pollaidh,3.7,3.2,3.2,4.8,"3.2,3.2,4.8"
Buachaille Etive Mor,9.2,6.4,14.0,7.2,"6.4,14.0,7.2"
Ben Starav,10.3,8.0,14.8,8.0,"8.0,14.8,8.0"
Bidean nam Bian,10.5,8.0,14.8,8.8,"8.0,14.8,8.8"
Bla Bheinn,12.0,12.4,13.4,10.2,"12.4,13.4,10.2"
Beinn Alligin - Sgurr Mor,8.1,7.2,9.0,8.0,"7.2,9.0,8.0"
Beinn Tarsuinn Corbett,4.8,4.8,4.8,4.8,"4.8,4.8,4.8"
Liathach,8.3,7.2,9.0,8.8,"7.2,9.0,8.8"
Beinn Eighe,8.1,7.2,9.0,8.0,"7.2,9.0,8.0"
Cul Beag,5.3,4.8,4.8,6.4,"4.8,4.8,6.4"
An Ruadh Stac,6.4,5.6,6.4,7.2,"5.6,6.4,7.2"
Beinn Damh,6.7,6.4,6.4,7.2,"6.4,6.4,7.2"
Baosbheinn,6.4,6.4,6.4,6.4,"6.4,6.4,6.4"
Slioch,7.8,7.2,8.2,8.0,"7.2,8.2,8.0"
Beinn Dearg Mor,7.2,7.2,7.2,7.2,"7.2,7.2,7.2"
Beinn na Caillich (Knoydart),6.9,5.6,9.4,5.6,"5.6,9.4,5.6"
Ben Nevis,11.9,9.6,16.6,9.6,"9.6,16.6,9.6"
Aonach Mor,11.1,8.0,15.6,9.6,"8.0,15.6,9.6"
