location,avg_score,am_score,pm_score,night_score,all_scores
Suilven,17.6,8.4,21.2,23.2,"8.4,21.2,23.2"
Stac Pollaidh,16.4,8.4,20.6,20.2,"8.4,20.6,20.2"
Bidean nam Bian,39.1,22.2,61.2,33.8,"22.2,61.2,33.8"
Buachaille Etive Mor,40.3,18.2,52.6,50.1,"18.2,52.6,50.1"
Ben Starav,42.0,25.6,55.8,44.5,"25.6,55.8,44.5"
Bla Bheinn,43.8,40.0,31.3,60.0,"40.0,31.3,60.0"
Cul Beag,18.9,7.7,21.8,27.1,"7.7,21.8,27.1"
Beinn Tarsuinn Corbett,23.9,13.0,19.4,39.4,"13.0,19.4,39.4"
Beinn Damh,37.9,24.3,54.4,35.0,"24.3,54.4,35.0"
An Ruadh Stac,37.0,23.1,55.8,32.2,"23.1,55.8,32.2"
Slioch,29.7,17.3,49.6,22.2,"17.3,49.6,22.2"
Baosbheinn,31.0,20.2,35.8,36.9,"20.2,35.8,36.9"
Beinn Dearg Mor,24.0,11.9,34.3,25.8,"11.9,34.3,25.8"
Beinn Eighe,31.8,20.8,53.8,20.9,"20.8,53.8,20.9"
Beinn Alligin - Sgurr Mor,34.5,22.8,45.3,35.5,"22.8,45.3,35.5"
Beinn na Caillich (Knoydart),45.0,23.5,65.7,45.9,"23.5,65.7,45.9"
