location,avg_score,am_score,pm_score,night_score,all_scores
Suilven,5.1,1.8,6.8,6.8,"1.8,6.8,6.8"
Stac Pollaidh,4.8,1.8,6.6,6.0,"1.8,6.6,6.0"
Bidean nam Bian,10.7,5.5,15.9,10.8,"5.5,15.9,10.8"
Buachaille Etive Mor,10.3,3.9,13.0,14.0,"3.9,13.0,14.0"
Ben Starav,11.3,6.9,14.1,12.8,"6.9,14.1,12.8"
Bla Bheinn,12.1,11.5,9.9,14.9,"11.5,9.9,14.9"
Cul Beag,5.7,1.7,7.6,7.9,"1.7,7.6,7.9"
Beinn Tarsuinn Corbett,6.2,4.2,4.9,9.5,"4.2,4.9,9.5"
Beinn Damh,10.2,5.9,14.9,9.8,"5.9,14.9,9.8"
An Ruadh Stac,9.5,4.9,14.3,9.2,"4.9,14.3,9.2"
Slioch,9.0,4.4,14.8,7.8,"4.4,14.8,7.8"
Baosbheinn,8.9,5.1,11.5,10.0,"5.1,11.5,10.0"
Beinn Dearg Mor,7.6,2.5,11.9,8.5,"2.5,11.9,8.5"
Beinn Eighe,9.5,5.2,15.7,7.5,"5.2,15.7,7.5"
Beinn Alligin - Sgurr Mor,10.2,6.3,13.8,10.6,"6.3,13.8,10.6"
Beinn na Caillich (Knoydart),11.1,6.5,15.7,11.1,"6.5,15.7,11.1"
