location,avg_score,am_score,pm_score,night_score,all_scores
Suilven,19.7,26.3,22.2,10.5,"26.3,22.2,10.5"
Stac Pollaidh,20.0,27.0,22.4,10.5,"27.0,22.4,10.5"
Buachaille Etive Mor,4.8,2.7,11.6,0,"2.7,11.6,0"
Bidean nam Bian,9.6,10.1,18.0,0.7,"10.1,18.0,0.7"
Ben Starav,9.8,10.8,18.0,0.7,"10.8,18.0,0.7"
Bla Bheinn,7.8,9.0,10.9,3.5,"9.0,10.9,3.5"
An Ruadh Stac,17.1,22.1,19.4,9.8,"22.1,19.4,9.8"
Beinn Dearg Mor,21.9,28.9,22.8,14.0,"28.9,22.8,14.0"
Beinn Damh,17.3,22.1,19.4,10.5,"22.1,19.4,10.5"
Cul Beag,19.9,27.6,21.6,10.5,"27.6,21.6,10.5"
Baosbheinn,19.7,23.5,22.2,13.3,"23.5,22.2,13.3"
Slioch,20.8,29.8,20.7,11.9,"29.8,20.7,11.9"
Beinn Eighe,21.4,27.8,24.4,11.9,"27.8,24.4,11.9"
Liathach,21.4,27.8,24.4,11.9,"27.8,24.4,11.9"
Beinn Tarsuinn Corbett,8.0,14.4,3.9,5.6,"14.4,3.9,5.6"
Beinn Alligin - Sgurr Mor,20.6,25.8,22.8,13.3,"25.8,22.8,13.3"
Beinn na Caillich (Knoydart),15.9,17.5,25.9,4.2,"17.5,25.9,4.2"
